252,60.0,765,130169,2250247
253,74.0,720,130217,3030225
255,70.0,730,130169,2250250
257,103.0,490,130243,3390184
259,70.0,770,130169,2250253
260,98.0,1255,130169,2250058,740199
261,86.0,760,130169,2250255
262,74.0,755,130163,2140315,3290210
263,85.0,1165,130169,2250315,3140217
264,72.0,800,130169,2250158,1620203
265,86.0,1070,130169,2250315,3140219
266,62.0,755,130169,2250265
267,64.0,435,130051,690188
268,92.0,860,130169,2250267
269,71.0,740,130169,2250268
270,77.0,705,130217,3030239
272,153.0,1005,130169,2250245,2490237
273,75.0,1690,130162,2130245
274,77.0,855,130162,2130246
275,79.0,825,130163,2140256
276,87.0,975,130163,2140257
277,72.0,905,130169,2250300,3050219
279,86.0,1000,130163,2140315,3290229
280,78.0,845,130169,2250276
282,89.0,1000,130169,2250158,1620216
284,70.0,795,130169,2250279
285,72.0,835,130254,3530254
286,68.0,830,130169,2250247,2520283
287,70.0,780,130169,2250282
288,70.0,920,130169,2250283
290,90.0,1075,130162,2130259
291,72.0,795,130169,2250285
292,96.0,805,130169,2250286
293,67.0,845,130254,3530261
294,64.0,615,130162,2130264
295,82.0,665,130163,2140277
297,77.0,855,130169,2250247,2520301
299,80.0,825,130162,2130272
300,87.0,1020,130169,2250247,2520304
301,78.0,785,130169,2250297
302,93.0,955,130163,2140119,1270215
303,55.0,635,130217
304,80.0,910,130169,2250358,3640286
305,63.0,805,130169,2250300
306,102.0,1195,130254,3530206,2300233
307,84.0,1195,130169,2250315,3140253
308,90.0,975,130169,2250247,2520317
309,65.0,835,130169,2250307
310,82.0,1040,130163,2140119,1270222
311,83.0,905,130163,2140119,1270223
314,59.0,770,130169,2250315
315,84.0,1055,130169,2250300,3050248
316,75.0,905,130169,2250318
317,74.0,805,130162,2130292
318,61.0,740,130169,2250321
319,92.0,1575,130169,2250247,2520201,2050231
320,75.0,785,130169,2250322
321,75.0,885,130163,2140119,1270229
323,87.0,840,130254,3530291
325,75.0,775,130162,2130297
326,96.0,1105,130169,2250247,2520201,2050236
327,70.0,620,130162,2130300
329,65.0,685,130163,2140315
330,69.0,505,130235
331,72.0,855,130169,2250330
332,75.0,920,130169,2250331
334,77.0,790,130163,2140320
335,68.0,765,130169,2250333
336,81.0,280,130051,690234
337,86.0,1140,130169,2250335
338,74.0,865,130169,2250247,2520348
339,54.0,240,130243
340,78.0,1185,130169,2250315,3140279
341,74.0,875,130163,2140328
342,61.0,770,130169,2250341
343,104.0,1135,130163,2140315,3290281
345,74.0,790,130163,2140119,1270248
347,76.0,925,130162,2130318
348,68.0,780,130169,2250345
349,78.0,860,130169,2250347
351,72.0,799,130169,2250349
352,83.0,1100,130169,2250247,2520201,2050257
353,55.0,740,130254
354,72.0,770,130169,2250352
356,67.0,815,130169,2250353
357,81.0,905,130169,2250247,2520372
358,67.0,835,130169,2250187,1910296
359,79.0,815,130163,2140347
362,94.0,1020,130169,2250158,1620275
364,63.0,785,130169,2250358
365,63.0,830,130254,3530336
367,75.0,905,130162,2130342
368,74.0,785,130169,2250365
369,76.0,665,130163,2140360
370,97.0,905,130169,2250279,2840272
371,91.0,845,130169,2250368
546,82.0,745,130217,3030345
547,112.0,295,130008,180268
548,183.0,705,130270
550,124.0,505,130271
552,97.0,205,130073,910279
553,124.0,495,130273
554,107.0,495,130274
626,93.0,310,130051,690268
663,222.0,1355,130169,2250247,2520395
