8,Tehran,35.7,51.4167
9,Tashkent,41.3,69.2667
10,Sanaa,15.35,44.2
11,Phnom Penh,11.5696,104.921
12,Naypyidaw,19.7540045,96.1344976
13,Muscat,23.6139,58.5922
14,Manila,14.5958,120.9772
15,Male,4.175,73.5083
16,Lhasa,29.65,91.1
17,Kuwait City,29.375,47.98
18,Kathmandu,27.7167,85.3667
20,Islamabad,33.6989,73.0369
21,Dushanbe,38.5731,68.7864
22,Doha,25.3,51.5333
23,Dhaka,23.7161,90.3961
24,Colombo,6.9167,79.8333
25,Bishkek,42.8667,74.5667
26,Beirut,33.8869,35.5131
27,Bandar Seri Begawan,4.9167,114.9167
28,Baghdad,33.35,44.4167
29,Astana Nur-Sultan,51.1333,71.4333
30,Ashgabat,37.95,58.3833
31,Amman,31.95,35.9333
32,Manama,26.2167,50.5831
33,Tbilisi,41.7225,44.7925
34,Baku,40.3667,49.8352
35,Yerevan,40.1814,44.5144
36,Honolulu,21.3294,-157.846
37,San Francisco,37.7562,-122.443
38,Orlando,28.4772,-81.3369
39,Las Vegas,36.2333,-115.2654
40,Los Angeles,34.1139,-118.4068
41,Miami,25.7839,-80.2102
42,New York,40.6943,-73.9249
43,Johannesburg,-26.2044,28.0416
44,Dammam,26.4333,50.1
45,Riyadh,24.65,46.71
47,Cancun,21.1617854,-86.8510468
48,Fukuoka,33.5903,130.4019
50,Kyoto,35.0111,135.7669
51,Osaka,34.6936,135.5019
52,Jerusalem,31.7833,35.2167
53,Batam,1.1061034,104.0378246
55,Kolkatta,22.5411,88.3378
56,Jaipur,26.9167,75.8667
57,Chennai,13.0825,80.275
58,Hurgada,27.222556,33.8307062
59,Beijing,39.905,116.3914
60,Zhuhai,22.2769,113.5678
61,Guilin,25.2667,110.2833
62,Vancouver,49.25,-123.1
63,Toronto,43.7417,-79.3733
64,Rio de Janeiro,-22.9083,-43.1964
65,Buenos Aires,-34.5997,-58.3819
66,Bangalore,12.9699,77.598
67,Krabi,8.0592,98.9189
68,Jeju,33.5097,126.5219
69,Abu Dhabi,24.4781,54.3686
70,Auckland,-36.85,174.7833
71,Cebu,10.3,123.9
72,Sydney,-33.865,151.2094
73,Melbourne,-37.8136,144.9631
74,Marrakech,31.6295,-7.9811
75,Penang Island,5.3787924,100.250172
76,Jakarta,-6.2146,106.8451
77,Ha Noi,21.0294498,105.8544441
78,Cairo,30.0561,31.2394
79,Johor Bahru,1.4556,103.7611
80,Denpasar,-8.6667,115.2167
81,Ho Chi Minh,10.7758439,106.7017555
82,Shanghai,31.1667,121.4667
83,Seoul,37.5833,127
84,Medina,24.4667,39.6
85,Guangzhou,23.1288,113.259
