from,to,transportation_type_id,transportation_type,price_unit,unit,price_euro,duration_minutes
100,101,1,flight,220,GBP,261.37,920.0
100,103,1,flight,340,EUR,340.0,1130.0
100,104,1,flight,310,EUR,310.0,955.0
100,105,1,flight,380,EUR,380.0,860.0
100,106,1,flight,410,EUR,410.0,1365.0
100,107,1,flight,2000,DKK,268.95,985.0
100,108,1,flight,2600,DKK,349.64,940.0
100,109,1,flight,430,EUR,430.0,2050.0
100,111,1,flight,230,EUR,230.0,650.0
100,112,1,flight,4600,TRY,366.47,1145.0
100,113,1,flight,4400,TRY,350.54,1050.0
100,114,1,flight,4600,TRY,366.47,1040.0
100,116,1,flight,180,EUR,180.0,820.0
100,116,1,flight,380,EUR,380.0,1025.0
100,116,1,flight,180,EUR,180.0,820.0
100,116,1,flight,380,EUR,380.0,1025.0
100,117,1,flight,400,USD,352.58,1010.0
100,118,1,flight,360,USD,317.32,1290.0
100,119,1,flight,280,GBP,332.65,800.0
100,119,1,flight,370,GBP,439.57,770.0
100,119,1,flight,280,GBP,332.65,800.0
100,119,1,flight,370,GBP,439.57,770.0
100,120,1,flight,220,GBP,261.37,1090.0
100,121,1,flight,18000,PHP,315.24,1830.0
100,122,1,flight,230,GBP,273.25,1095.0
100,123,1,flight,100000,HUF,274.96,995.0
100,124,1,flight,270,EUR,270.0,965.0
100,126,1,flight,200,EUR,200.0,1030.0
100,127,1,flight,1600,DKK,215.16,820.0
100,128,1,flight,260,EUR,260.0,795.0
100,129,1,flight,290,EUR,290.0,885.0
100,130,1,flight,190,EUR,190.0,960.0
100,131,1,flight,2800,NOK,281.34,840.0
100,132,1,flight,3300,NOK,331.58,1050.0
100,134,1,flight,320,USD,282.06,885.0
100,135,1,flight,23000,RSD,-1,1045.0
100,135,1,flight,23000,RSD,-1,1045.0
100,136,1,flight,280,EUR,280.0,2035.0
100,137,1,flight,250,EUR,250.0,970.0
100,140,1,flight,190,EUR,190.0,960.0
100,142,1,flight,340,GBP,403.93,1015.0
100,145,1,flight,330,EUR,330.0,760.0
100,146,1,flight,300,EUR,300.0,1215.0
100,147,1,flight,2200,DKK,295.85,840.0
100,147,1,flight,2200,DKK,295.85,840.0
100,150,1,flight,390,EUR,390.0,770.0
100,151,1,flight,350,EUR,350.0,1080.0
100,152,1,flight,300,EUR,300.0,955.0
100,153,1,flight,220,USD,193.92,1100.0
100,154,1,flight,320,EUR,320.0,1115.0
