from,to,transportation_type_id,transportation_type,price_unit,unit,price_euro,duration_HR,json
9,18,1,flight,571,USD,492.16,6.7,"{""option_id"": 0, ""option"": ""Fly-to-Kathmandu"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Kathmandu Airport (KTM)"", ""dest_lat"": 27.70029, ""dest_lng"": 85.35712, ""dest_code"": ""NP"", ""dest_zone"": ""Asia/Kathmandu"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""KTM"", ""dest_name"": ""Kathmandu"", ""dest_lat"": 27.70029, ""dest_lng"": 85.35712, ""dest_town"": ""Province 3"", ""dest_country"": ""Nepal"", ""dest_zone"": ""AS"", ""duration"": 24000, ""price_unit"": ""USD"", ""min_price_unit"": 571, ""max_price_unit"": 572}}, ""dist_trip"": 2102}"
9,18, ,car,260,USD,224.1,44.0,"{""option_id"": 6, ""option"": ""Drive"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Kathmandu Airport (KTM)"", ""dest_lat"": 27.70029, ""dest_lng"": 85.35712, ""dest_code"": ""NP"", ""dest_zone"": ""Asia/Kathmandu"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""car"", ""name"": ""car"", ""type"": ""grey-darker"", ""duration"": 158357.068, ""org_cat"": ""node"", ""org_name"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""dest_cat"": ""node"", ""dest_name"": ""Kathmandu Airport (KTM)"", ""dest_lat"": 27.70029, ""dest_lng"": 85.35712, ""price_unit"": ""USD"", ""min_price_unit"": 260, ""max_price_unit"": 385}}, ""dist_trip"": 2102}"
9,19,1,flight,200,USD,172.38,1.6,"{""option_id"": 0, ""option"": ""Fly"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Kabul Airport (KBL)"", ""dest_lat"": 34.56098, ""dest_lng"": 69.21086, ""dest_code"": ""AF"", ""dest_zone"": ""Asia/Kabul"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""KBL"", ""dest_name"": ""Kabul"", ""dest_lat"": 34.56098, ""dest_lng"": 69.21086, ""dest_town"": ""Wil\u0101yat-e K\u0101bul"", ""dest_country"": ""Afghanistan"", ""dest_zone"": ""AS"", ""duration"": 5700, ""price_unit"": ""USD"", ""min_price_unit"": 200, ""max_price_unit"": 398.29}}, ""dist_trip"": 744}"
9,20,1,flight,220,USD,189.62,23.8,"{""option_id"": 0, ""option"": ""Fly-to-Islamabad"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Islamabad Airport (ISB)"", ""dest_lat"": 33.60867, ""dest_lng"": 73.10397, ""dest_code"": ""PK"", ""dest_zone"": ""Asia/Karachi"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""ISB"", ""dest_name"": ""Islamabad"", ""dest_lat"": 33.60867, ""dest_lng"": 73.10397, ""dest_town"": ""Punjab"", ""dest_country"": ""Pakistan"", ""dest_zone"": ""AS"", ""duration"": 85800, ""price_unit"": ""USD"", ""min_price_unit"": 220, ""max_price_unit"": 1388.89}}, ""dist_trip"": 915}"
9,21,1,flight,80,USD,68.95,1.0,"{""option_id"": 0, ""option"": ""Fly"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Dushanbe Airport (DYU)"", ""dest_lat"": 38.54333, ""dest_lng"": 68.825, ""dest_code"": ""TJ"", ""dest_zone"": ""Asia/Dushanbe"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""DYU"", ""dest_name"": ""Dushanbe"", ""dest_lat"": 38.54333, ""dest_lng"": 68.825, ""dest_town"": ""Dushanbe"", ""dest_country"": ""Tajikistan"", ""dest_zone"": ""AS"", ""duration"": 3600, ""price_unit"": ""USD"", ""min_price_unit"": 80, ""max_price_unit"": 910.4}}, ""dist_trip"": 304}"
9,21, ,car,0,,0,6.3,"{""option_id"": 1, ""option"": ""Drive"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Dushanbe Airport (DYU)"", ""dest_lat"": 38.54333, ""dest_lng"": 68.825, ""dest_code"": ""TJ"", ""dest_zone"": ""Asia/Dushanbe"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""car"", ""name"": ""car"", ""type"": ""grey-darker"", ""duration"": 22544.045, ""org_cat"": ""node"", ""org_name"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""dest_cat"": ""node"", ""dest_name"": ""Dushanbe Airport (DYU)"", ""dest_lat"": 38.54333, ""dest_lng"": 68.825, ""price_unit"": """", ""min_price_unit"": 0, ""max_price_unit"": 0}}, ""dist_trip"": 304}"
9,22,1,flight,230,USD,198.24,7.0,"{""option_id"": 0, ""option"": ""Fly-to-Doha"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Doha Airport (DOH)"", ""dest_lat"": 25.26083, ""dest_lng"": 51.61385, ""dest_code"": ""QA"", ""dest_zone"": ""Asia/Qatar"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""DOH"", ""dest_name"": ""Doha"", ""dest_lat"": 25.26083, ""dest_lng"": 51.61385, ""dest_town"": ""Balad\u012byat ad Daw\u1e29ah"", ""dest_country"": ""Qatar"", ""dest_zone"": ""AS"", ""duration"": 25200, ""price_unit"": ""USD"", ""min_price_unit"": 230, ""max_price_unit"": 639.65}}, ""dist_trip"": 2410}"
9,23,1,flight,650,USD,560.25,9.0,"{""option_id"": 0, ""option"": ""Fly-to-Dhaka"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Dhaka Airport (DAC)"", ""dest_lat"": 23.84862, ""dest_lng"": 90.40568, ""dest_code"": ""BD"", ""dest_zone"": ""Asia/Dhaka"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""DAC"", ""dest_name"": ""Dhaka"", ""dest_lat"": 23.84862, ""dest_lng"": 90.40568, ""dest_town"": ""Dhaka Division"", ""dest_country"": ""Bangladesh"", ""dest_zone"": ""AS"", ""duration"": 32400, ""price_unit"": ""USD"", ""min_price_unit"": 650, ""max_price_unit"": 978.96}}, ""dist_trip"": 2755}"
9,23, ,car,0,,0,53.8,"{""option_id"": 5, ""option"": ""Drive"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Dhaka Airport (DAC)"", ""dest_lat"": 23.84862, ""dest_lng"": 90.40568, ""dest_code"": ""BD"", ""dest_zone"": ""Asia/Dhaka"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""car"", ""name"": ""car"", ""type"": ""grey-darker"", ""duration"": 193720.772, ""org_cat"": ""node"", ""org_name"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""dest_cat"": ""node"", ""dest_name"": ""Dhaka Airport (DAC)"", ""dest_lat"": 23.84862, ""dest_lng"": 90.40568, ""price_unit"": """", ""min_price_unit"": 0, ""max_price_unit"": 0}}, ""dist_trip"": 2755}"
9,24,1,flight,65000,LKR,-1,11.2,"{""option_id"": 0, ""option"": ""Fly-Tashkent-to-Colombo"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Colombo Airport (CMB)"", ""dest_lat"": 7.17445, ""dest_lng"": 79.88734, ""dest_code"": ""LK"", ""dest_zone"": ""Asia/Colombo"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""CMB"", ""dest_name"": ""Colombo"", ""dest_lat"": 7.17445, ""dest_lng"": 79.88734, ""dest_town"": ""Western"", ""dest_country"": ""Sri Lanka"", ""dest_zone"": ""AS"", ""duration"": 40500, ""price_unit"": ""LKR"", ""min_price_unit"": 65000, ""max_price_unit"": 217489.9}}, ""dist_trip"": 3920}"
9,24,1,flight,65000,LKR,-1,11.2,"{""option_id"": 0, ""option"": ""Fly-Tashkent-to-Colombo"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Colombo Airport (CMB)"", ""dest_lat"": 7.17445, ""dest_lng"": 79.88734, ""dest_code"": ""LK"", ""dest_zone"": ""Asia/Colombo"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""CMB"", ""dest_name"": ""Colombo"", ""dest_lat"": 7.17445, ""dest_lng"": 79.88734, ""dest_town"": ""Western"", ""dest_country"": ""Sri Lanka"", ""dest_zone"": ""AS"", ""duration"": 40500, ""price_unit"": ""LKR"", ""min_price_unit"": 65000, ""max_price_unit"": 217489.9}}, ""dist_trip"": 3920}"
