from,to,transportation_type_id,transportation_type,price_unit,unit,price_euro,duration_minutes
109,204, ,car,60000,HUF,162.76,707.2
109,205,1,flight,140,EUR,140.0,395.0
109,206,1,flight,5000,TRY,311.48,695.0
109,206, ,car,5000,TRY,311.48,1425.1
111,100,1,flight,400,USD,358.33,810.0
111,101,1,flight,55,GBP,65.9,85.0
111,103,1,flight,45,EUR,45.0,365.0
111,103, ,car,340,EUR,340.0,1412.4
111,104,1,flight,50,EUR,50.0,190.0
111,104, ,car,380,EUR,380.0,1578.2
111,105,1,flight,40,EUR,40.0,155.0
111,105, ,car,270,EUR,270.0,1161.5
111,106,1,flight,85,EUR,85.0,295.0
111,106, ,car,310,EUR,310.0,1305.9
111,107,1,flight,550,DKK,73.92,75.0
111,107, ,car,900,DKK,120.96,498.7
111,108,1,flight,390,DKK,52.42,175.0
111,108, ,car,850,DKK,114.24,458.6
111,109,1,flight,140,EUR,140.0,240.0
111,109, ,car,200,EUR,200.0,826.6
111,112,1,flight,2400,TRY,149.51,345.0
111,112, ,car,7500,TRY,467.22,2102.3
111,113,1,flight,1200,TRY,74.75,220.0
111,113, ,car,6500,TRY,404.92,1743.6
111,114,1,flight,900,TRY,56.07,230.0
111,114, ,car,7000,TRY,436.07,1991.3
111,115, ,car,110,CHF,106.59,456.8
111,116,1,flight,30,EUR,30.0,45.0
111,116,2,bus,12,EUR,12.0,200.0
111,116, ,car,27,EUR,27.0,130.9
111,116, ,car,35,EUR,35.0,166.4
111,116,1,flight,30,EUR,30.0,45.0
111,116,2,bus,12,EUR,12.0,200.0
111,116, ,car,27,EUR,27.0,130.9
111,116, ,car,35,EUR,35.0,166.4
111,117,1,flight,120,USD,107.5,195.0
111,117, ,car,380,USD,340.41,1370.2
111,118,1,flight,14,USD,12.54,300.0
111,118, ,car,220,USD,197.08,814.5
111,119,1,flight,35,GBP,41.93,100.0
111,119,1,flight,50,GBP,59.91,90.0
111,119,1,flight,35,GBP,41.93,100.0
111,119,1,flight,50,GBP,59.91,90.0
111,120,1,flight,26,GBP,31.15,70.0
111,122,1,flight,23,GBP,27.56,75.0
111,123,1,flight,13000,HUF,35.27,115.0
111,123, ,car,70000,HUF,189.89,757.9
111,124,1,flight,30,EUR,30.0,75.0
111,124, ,car,90,EUR,90.0,365.9
111,126,1,flight,75,EUR,75.0,210.0
111,126, ,car,140,EUR,140.0,610.9
111,127,1,flight,270,DKK,36.29,65.0
111,127, ,car,750,DKK,100.8,410.2
111,128,1,flight,35,EUR,35.0,125.0
111,128, ,car,210,EUR,210.0,881.5
111,129,1,flight,35,EUR,35.0,125.0
111,129, ,car,190,EUR,190.0,805.2
111,130,1,flight,35,EUR,35.0,100.0
111,130, ,car,170,EUR,170.0,720.7
111,131,1,flight,700,NOK,69.39,100.0
111,131, ,car,2900,NOK,287.48,1296.6
111,132,1,flight,800,NOK,79.3,250.0
111,132, ,car,4200,NOK,416.34,1831.9
111,134,1,flight,40,USD,35.83,165.0
111,134, ,car,340,USD,304.58,1283.3
111,135,1,flight,8000,RSD,-1,135.0
111,135, ,car,27000,RSD,-1,915.3
111,135, ,car,22000,RUB,229.84,925.7
111,135,1,flight,8000,RSD,-1,135.0
111,135, ,car,27000,RSD,-1,915.3
111,135, ,car,22000,RUB,229.84,925.7
111,136, ,car,160,EUR,160.0,654.9
111,137,1,flight,45,EUR,45.0,100.0
111,137, ,car,140,EUR,140.0,624.7
111,139,1,flight,700,CZK,27.9,560.0
111,139, ,car,3700,CZK,147.47,585.5
111,140,1,flight,30,EUR,30.0,70.0
111,140, ,car,100,EUR,100.0,392.4
111,141, ,car,11000,RUB,114.92,458.0
111,142,1,flight,55,GBP,65.9,75.0
111,145,1,flight,30,EUR,30.0,200.0
111,145, ,car,35,EUR,35.0,162.3
111,146,1,flight,70,EUR,70.0,165.0
111,147,1,flight,220,DKK,29.57,80.0
111,147, ,car,900,DKK,120.96,508.2
111,147, ,car,900,DKK,120.96,497.2
111,147,1,flight,220,DKK,29.57,80.0
111,147, ,car,900,DKK,120.96,508.2
111,147, ,car,900,DKK,120.96,497.2
111,150,1,flight,35,EUR,35.0,105.0
111,151,1,flight,40,EUR,40.0,145.0
111,152,1,flight,40,EUR,40.0,170.0
111,153,1,flight,60,USD,53.75,150.0
111,153, ,car,280,USD,250.83,1091.0
111,154,1,flight,65,EUR,65.0,205.0
111,154, ,car,120,EUR,120.0,528.2
111,155, ,car,140,EUR,140.0,586.4
111,156,1,flight,80,EUR,80.0,315.0
111,156, ,car,90,EUR,90.0,399.6
111,159, ,car,35,EUR,35.0,151.5
111,160,1,flight,75,EUR,75.0,75.0
111,160, ,car,100,EUR,100.0,392.1
111,161,1,flight,55,EUR,55.0,45.0
111,161, ,car,30,EUR,30.0,133.9
111,161, ,car,23,EUR,23.0,116.4
111,161, ,towncar,0,,0,116.4
111,161, ,towncar,0,,0,116.4
111,161, ,car,2700,RUB,28.21,142.3
111,161,1,flight,55,EUR,55.0,45.0
111,161, ,car,30,EUR,30.0,133.9
111,161, ,car,23,EUR,23.0,116.4
111,161, ,towncar,0,,0,116.4
111,161, ,towncar,0,,0,116.4
111,161, ,car,2700,RUB,28.21,142.3
111,161,1,flight,55,EUR,55.0,45.0
111,161, ,car,30,EUR,30.0,133.9
111,161, ,car,23,EUR,23.0,116.4
111,161, ,towncar,0,,0,116.4
111,161, ,towncar,0,,0,116.4
111,161, ,car,2700,RUB,28.21,142.3
111,162,1,flight,14,EUR,14.0,95.0
111,163,1,flight,1600,TRY,99.67,225.0
111,163, ,car,7000,TRY,436.07,1938.2
111,164,1,flight,320,HRK,42.37,140.0
111,164, ,car,1900,HRK,251.59,1096.2
111,166,1,flight,25,GBP,29.95,85.0
111,169, ,car,750,DKK,100.8,407.0
111,171,1,flight,750,ILS,189.96,565.0
111,172, ,car,16,EUR,16.0,85.4
111,172, ,towncar,0,,0,85.4
111,172, ,towncar,0,,0,85.4
111,174,1,flight,29,EUR,29.0,65.0
111,174, ,car,55,EUR,55.0,240.0
111,174, ,car,55,EUR,55.0,252.0
111,174,1,flight,29,EUR,29.0,65.0
111,174, ,car,55,EUR,55.0,240.0
111,174, ,car,55,EUR,55.0,252.0
111,175,1,flight,140,EUR,140.0,180.0
111,175, ,car,100,EUR,100.0,438.3
111,176,1,flight,50,EUR,50.0,270.0
111,177,1,flight,45,EUR,45.0,115.0
111,177, ,car,180,EUR,180.0,768.3
111,178,1,flight,700,NOK,69.39,185.0
