from_city_id,to_city_id,from_id,to_id,transport_id,price_min_EUR,price_max_EUR,duration_min
8,17,8,17,1,57,90,295
8,16,8,16,1,361,1041,750
8,13,8,13,1,124,210,150
8,13,8,13,1,95,133,220
8,18,8,18,1,200,571,435
8,18,8,18,1,181,524,585
8,15,8,15,1,343,524,430
8,15,8,15,1,324,857,675
8,10,8,10,1,190,714,690
8,9,8,9,1,324,714,340
8,9,8,9,1,171,524,550
8,9,8,35,2,57,57,1320
8,12,8,12,1,210,762,1230
8,11,8,11,1,238,810,545
8,11,8,11,1,295,714,855
8,11,8,81,1,238,810,560
8,11,81,11,2,10,10,360
8,19,8,19,1,229,276,205
8,20,8,20,1,190,267,325
8,20,8,20,1,305,438,395
8,22,8,22,1,114,171,230
8,22,8,22,1,267,524,125
8,21,8,21,1,67,381,235
8,21,8,21,1,324,667,460
8,23,8,23,1,181,524,445
8,23,8,23,1,171,476,570
8,23,8,550,1,248,352,600
8,28,8,28,1,190,238,70
8,28,8,28,1,81,400,320
8,29,8,29,1,124,524,400
8,29,8,29,1,210,810,540
8,26,8,26,1,124,571,480
8,26,8,26,1,124,181,165
8,31,8,31,1,52,333,360
8,27,8,27,1,276,524,1080
8,27,8,27,1,295,571,725
8,32,8,32,1,171,381,260
8,32,8,32,1,105,152,405
8,32,8,44,1,143,324,280
8,32,44,32,2,3,25,157
8,33,8,33,1,143,286,240
8,33,8,35,2,57,57,1320
8,33,8,35,2,57,57,1320
8,33,35,33,2,16,33,395
8,35,8,35,1,33,305,90
8,36,8,36,1,571,1238,1285
8,37,8,37,1,467,1238,1115
8,37,8,37,1,429,1238,1375
8,39,8,39,1,524,857,1140
8,39,8,39,1,438,1238,1485
8,38,8,38,1,571,952,1115
8,38,8,38,1,857,2286,1365
8,38,8,41,1,476,1524,1045
8,38,41,38,2,24,67,255
8,40,8,40,1,448,1238,1125
8,40,8,40,1,448,1238,1385
8,40,8,39,1,524,857,1140
8,40,39,40,2,19,57,270
8,41,8,41,1,476,1524,1045
8,41,8,41,1,467,1333,1478
8,41,8,38,1,571,952,1115
8,41,38,41,2,24,67,235
8,43,8,43,1,330,934,690
8,43,8,43,1,302,879,1015
8,47,8,47,1,469,1086,1145
8,47,8,47,1,444,1234,1769
8,42,8,42,1,410,1048,935
8,42,8,42,1,381,1048,1225
8,42,8,42,1,448,1238,1080
8,48,8,48,1,290,991,795
8,52,8,336,1,134,509,385
8,52,8,336,1,134,535,580
8,49,8,49,1,283,920,700
8,49,8,89,1,460,637,705
8,49,8,50,1,290,991,820
8,49,51,89,3,85,120,147
8,50,8,50,1,290,991,820
8,50,51,50,3,3,4,41
8,50,8,51,1,326,1062,865
8,50,89,50,3,31,46,34
8,50,51,50,3,5,16,29
8,50,8,89,1,460,637,705
8,50,89,50,3,78,113,125
8,50,8,49,1,283,920,700
8,50,89,50,3,78,113,132
8,55,8,55,1,253,368,410
8,55,8,55,1,265,633,525
8,51,8,50,1,290,991,820
8,51,8,51,1,326,1062,865
8,51,89,51,3,35,53,49
8,56,8,56,1,161,219,360
8,56,8,93,1,207,541,230
8,56,93,56,3,2,13,270
8,57,8,57,1,219,311,380
8,57,8,57,1,184,506,605
8,58,8,58,1,248,343,565
8,58,8,58,1,238,333,845
8,60,8,85,1,763,3609,465
8,60,85,60,3,7,13,54
8,60,8,99,1,347,763,630
8,60,8,99,1,278,514,915
8,60,8,92,1,361,1249,525
8,60,8,97,1,430,1388,740
8,60,8,60,1,444,1527,770
8,62,8,62,1,593,977,1025
8,62,8,62,1,454,1326,1690
8,63,8,63,1,593,837,920
8,63,8,63,1,384,1047,1345
8,63,8,63,1,384,1116,1079
8,61,8,61,1,305,972,720
8,61,8,85,1,763,3609,465
8,61,85,61,3,19,43,153
8,61,8,92,1,361,1249,525
8,61,85,61,3,19,43,153
8,64,8,64,1,625,1606,1045
8,64,8,64,1,500,1428,1230
8,64,8,64,1,500,1428,1635
8,64,8,64,1,464,1338,1545
8,68,8,68,1,277,972,790
8,67,8,67,1,252,867,600
8,67,8,67,1,308,784,910
8,67,8,90,1,420,476,540
8,67,8,90,1,196,588,740
8,71,8,71,1,325,942,775
8,71,8,71,1,206,634,1205
8,72,8,72,1,545,1475,1030
8,72,8,72,1,481,1347,1275
8,73,8,73,1,481,1155,985
8,73,8,73,1,513,1283,1420
8,73,8,73,1,577,1604,1300
8,73,8,73,1,609,1539,1440
8,75,8,75,1,260,865,600
8,75,8,75,1,303,757,815
8,75,8,94,1,238,843,480
8,76,8,76,1,273,911,675
8,76,8,76,1,291,729,880
8,78,8,78,1,210,619,390
8,78,8,78,1,133,571,555
8,77,8,77,1,248,857,655
8,77,8,77,1,305,762,845
8,79,8,96,1,454,757,595
8,79,8,96,1,303,757,830
8,79,8,79,1,497,627,805
8,79,8,79,1,324,822,845
8,79,8,94,1,238,843,480
8,79,94,79,2,7,8,260
8,80,8,80,1,304,1032,755
8,80,8,80,1,334,850,935
8,81,8,81,1,238,810,560
8,81,8,81,1,171,524,825
8,82,8,82,1,291,972,490
8,82,8,82,1,403,1388,600
8,83,8,83,1,284,972,620
8,83,8,83,1,897,927,910
8,87,8,87,1,238,810,665
8,87,8,87,1,333,810,1155
8,87,8,87,1,295,1048,865
8,88,8,98,1,210,756,405
8,88,8,88,1,280,979,555
8,88,8,98,1,266,672,675
8,88,8,88,1,210,616,990
8,89,8,89,1,460,637,705
8,89,8,49,1,283,920,700
8,90,8,90,1,420,476,540
8,90,8,90,1,196,588,740
8,90,8,67,1,252,867,600
8,91,8,91,1,207,334,225
8,91,8,91,1,127,311,460
8,92,8,99,1,347,763,630
8,92,60,92,2,4,19,60
8,92,8,85,1,763,3609,465
8,92,85,92,3,8,12,90
8,92,8,92,1,361,1249,525
8,92,8,99,1,278,514,915
8,92,60,92,2,4,19,60
8,93,8,93,1,207,541,230
8,93,8,93,1,138,334,465
8,94,8,94,1,238,843,480
8,94,8,94,1,173,519,700
8,96,8,96,1,459,777,595
8,96,8,96,1,297,777,830
8,96,8,79,1,494,636,805
8,96,79,96,2,1,1,50
8,96,8,79,1,332,848,845
8,96,79,96,2,1,1,50
8,97,8,85,1,762,3619,465
8,97,85,60,3,8,13,54
8,97,8,99,1,352,762,630
8,97,8,99,1,276,524,915
8,97,8,92,1,362,1238,525
8,97,85,60,3,5,7,14
8,97,8,97,1,438,1429,740
8,98,8,98,1,210,756,405
8,98,8,98,1,266,672,675
8,98,8,98,1,168,504,990
8,101,8,166,1,271,1356,535
8,101,166,101,3,18,203,141
8,101,8,184,1,294,1243,520
8,101,184,101,3,34,113,160
8,101,8,101,1,271,384,625
8,101,8,264,1,260,373,620
8,101,264,166,3,18,203,86
8,101,166,101,3,18,215,146
8,101,8,243,1,237,1074,505
8,101,243,166,3,73,124,209
8,101,166,101,3,18,203,141
8,101,8,203,1,283,418,650
8,101,203,101,3,26,79,137
8,101,8,207,2,47,47,2160
8,101,207,268,2,24,32,600
8,101,243,184,2,10,14,320
8,101,184,101,2,14,17,197
8,101,8,207,2,47,47,2160
8,101,166,101,3,18,215,146
8,103,8,103,1,190,250,490
8,103,8,207,1,110,210,195
8,103,207,103,2,45,65,330
8,103,8,207,1,90,160,200
8,103,207,103,2,45,65,330
8,103,8,207,2,47,47,2160
8,103,207,103,2,45,65,330
8,104,8,104,1,100,380,340
8,104,8,104,1,90,360,610
8,104,8,207,2,47,47,2160
8,100,8,116,1,190,550,470
8,100,8,111,1,160,200,475
8,100,111,100,3,50,110,60
8,100,8,116,1,180,700,490
8,100,8,172,1,180,750,465
8,100,172,100,2,7,9,70
8,100,8,145,1,250,340,350
8,100,145,116,3,40,60,104
8,100,116,100,3,6,9,45
8,100,8,174,1,180,420,340
8,100,174,116,3,65,95,164
8,100,116,100,3,6,9,45
8,100,8,161,1,220,310,445
8,100,161,145,3,5,70,27
8,100,145,116,3,40,60,104
8,100,116,100,3,6,9,45
8,100,8,207,2,47,47,2160
8,100,207,268,2,24,35,600
8,100,268,134,2,8,25,180
8,100,134,116,2,137,137,1538
8,100,116,100,2,5,7,55
8,100,8,207,2,47,47,2160
8,100,116,100,3,6,9,52
8,107,8,107,1,282,403,590
8,107,8,127,1,242,350,505
8,107,8,108,1,269,376,575
8,107,108,107,3,16,23,76
8,107,8,147,1,242,444,460
8,107,147,107,3,42,58,278
8,107,8,207,2,47,47,2160
8,107,207,268,2,24,31,600
8,107,8,207,2,47,47,2160
8,107,8,207,2,47,47,2160
8,107,8,207,2,47,47,2160
8,107,134,147,2,67,94,2317
8,107,147,107,3,40,56,250
8,108,8,127,1,242,350,505
8,108,8,108,1,269,376,575
8,108,8,107,1,282,403,590
8,108,107,108,3,16,23,102
8,108,8,147,1,242,444,460
8,108,147,108,3,31,43,194
8,108,8,196,1,161,336,345
8,108,196,108,3,36,50,267
8,108,8,126,1,296,417,500
8,108,126,196,3,40,74,57
8,108,196,108,3,36,50,267
8,108,8,207,2,47,47,2160
8,108,207,268,2,24,31,600
8,108,8,207,2,47,47,2160
8,108,8,207,2,47,47,2160
8,108,8,207,2,47,47,2160
8,108,134,147,2,67,94,2317
8,108,147,108,3,30,42,166
8,105,8,105,1,280,400,545
8,105,8,351,1,260,370,520
8,105,351,105,3,14,18,112
8,105,8,351,1,210,700,835
8,105,351,105,3,14,18,112
8,105,8,207,2,47,47,2160
8,105,117,105,2,125,125,3207
8,105,8,207,2,47,47,2160
8,105,309,105,2,290,370,2640
8,105,8,207,2,47,47,2160
8,105,309,105,2,90,150,2925
8,105,8,207,2,47,47,2160
8,105,8,207,2,47,47,2160
