from,to,transportation_type_id,transportation_type,price_unit,unit,price_euro,duration_minutes
9,87,1,flight,650,USD,557.7,770.0
9,87,1,flight,450,USD,386.1,600.0
9,87,1,flight,650,USD,557.7,770.0
9,88,1,flight,16000,THB,411.51,670.0
9,88, ,car,21000,THB,540.11,4926.5
9,89,1,flight,60000,JPY,450.72,590.0
9,89,1,flight,65000,JPY,488.28,760.0
9,89,1,flight,60000,JPY,450.72,590.0
9,89,1,flight,65000,JPY,488.28,760.0
9,90,1,flight,13000,THB,334.35,505.0
9,91,1,flight,17000,INR,194.29,365.0
9,92,1,flight,4100,CNY,550.6,670.0
9,92, ,car,3400,CNY,456.6,3875.9
9,93,1,flight,13000,INR,148.57,180.0
9,94,1,flight,2000,MYR,411.36,635.0
9,94, ,car,1600,MYR,329.09,6011.1
9,94,1,flight,2100,MYR,431.93,870.0
9,94, ,car,1600,MYR,329.09,5977.1
9,94,1,flight,2000,MYR,411.36,635.0
9,94, ,car,1600,MYR,329.09,6011.1
9,94,1,flight,2100,MYR,431.93,870.0
9,94, ,car,1600,MYR,329.09,5977.1
10,11,1,flight,230,USD,197.34,1035.0
10,11, ,car,900,USD,772.2,8678.7
10,12,1,flight,200,USD,171.6,1150.0
10,12, ,car,0,,0,7340.8
10,13,1,flight,190,USD,163.02,820.0
10,13, ,car,100,USD,85.8,1646.0
10,15,1,flight,150,USD,128.7,845.0
10,16, ,car,4600,CNY,617.75,6286.1
10,17, ,car,65,USD,55.77,1610.2
10,22, ,car,85,USD,72.93,1580.1
10,23,1,flight,120,USD,102.96,795.0
10,23, ,car,0,,0,6180.5
10,24,1,flight,28000,LKR,-1,760.0
10,24,1,flight,28000,LKR,-1,760.0
10,25, ,car,320,USD,274.56,4543.4
10,26, ,car,200,USD,171.6,2057.8
10,27,1,flight,190,USD,163.02,1410.0
10,29, ,car,0,,0,5348.3
10,31, ,car,270,USD,231.66,1866.6
10,31, ,car,270,USD,231.66,1866.6
10,32, ,car,0,,0,1440.9
10,44, ,car,0,,0,1393.2
10,45, ,car,0,,0,1178.2
10,48,1,flight,28000,JPY,210.34,1785.0
10,55,1,flight,10000,INR,114.29,595.0
10,55, ,car,60000,INR,685.71,5920.4
10,56,1,flight,7000,INR,80.0,515.0
10,57,1,flight,7000,INR,80.0,510.0
10,57, ,car,60000,INR,685.71,6560.0
10,58, ,car,100,USD,85.8,2385.2
10,60, ,car,6500,CNY,872.91,7919.7
10,61,1,flight,1400,CNY,188.01,1895.0
10,61, ,car,6000,CNY,805.76,7642.0
10,66,1,flight,9000,INR,102.86,540.0
10,66, ,car,60000,INR,685.71,6433.7
10,67,1,flight,6000,THB,154.32,785.0
10,67, ,car,32000,THB,823.02,8729.9
10,68,1,flight,480000,KRW,349.61,2085.0
10,69, ,car,350,AED,-1,1689.6
10,69, ,car,80,EUR,80.0,1690.6
10,69, ,car,350,AED,-1,1689.6
10,69, ,car,80,EUR,80.0,1690.6
10,70,1,flight,700,NZD,429.61,1770.0
10,71,1,flight,10000,PHP,169.04,1970.0
10,72,1,flight,800,AUD,512.79,1635.0
10,73,1,flight,800,AUD,512.79,1555.0
10,73,1,flight,800,AUD,512.79,1555.0
10,73,1,flight,800,AUD,512.79,1555.0
10,75,1,flight,550,MYR,113.12,975.0
10,75, ,car,2200,MYR,452.5,9020.2
10,76,1,flight,3600000,IDR,219.21,1070.0
