path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
3390001,339,8,1,74,370
3390002,339,9,1,129,475
3390003,339,10,1,74,820
3390004,339,11,1,212,790
3390005,339,12,1,194,1345
3390006,339,15,1,194,540
3390007,339,17,1,28,150
3390008,339,20,1,157,450
3390009,339,21,1,148,425
3390010,339,22,1,65,190
3390011,339,23,1,101,535
3390012,339,26,1,51,275
3390013,339,27,1,184,835
3390014,339,28,1,55,290
3390015,339,30,1,175,390
3390016,339,31,1,32,140
3390017,339,32,1,55,175
3390018,339,33,1,101,225
3390019,339,35,1,60,355
3390020,339,36,1,360,1375
3390021,339,37,1,240,1015
3390022,339,38,1,221,1105
3390023,339,39,1,231,1198
3390024,339,40,1,258,1055
3390025,339,41,1,277,965
3390026,339,42,1,194,855
3390027,339,43,1,226,785
3390028,339,48,1,258,960
3390029,339,49,1,244,860
3390030,339,50,1,301,1030
3390031,339,51,1,280,1140
3390032,339,53,1,425,960
3390033,339,56,1,96,505
3390034,339,57,1,107,545
3390035,339,58,1,55,355
3390036,339,61,1,191,1090
3390037,339,62,1,268,895
3390038,339,63,1,220,959
3390039,339,64,1,288,1175
3390040,339,66,1,102,590
3390041,339,67,1,223,835
3390042,339,68,1,223,1600
3390043,339,70,1,354,1490
3390044,339,71,1,185,825
3390045,339,72,1,301,1155
3390046,339,73,1,288,1065
3390047,339,75,1,117,930
3390048,339,76,1,176,785
3390049,339,77,1,203,705
3390050,339,78,1,286,320
3390051,339,79,1,237,810
3390052,339,80,1,255,895
3390053,339,81,1,212,695
3390054,339,83,1,246,800
3390055,339,85,1,258,750
3390056,339,88,1,134,870
3390057,339,89,1,315,945
3390058,339,90,1,128,655
3390059,339,91,1,107,430
3390060,339,92,1,327,830
3390061,339,93,1,107,450
3390062,339,94,1,107,695
3390063,339,96,1,216,740
3390064,339,97,1,367,915
3390065,339,98,1,195,630
3390066,339,99,1,204,730
3390067,339,101,1,90,580
3390068,339,104,1,35,250
3390069,339,105,1,100,540
3390070,339,106,1,150,660
3390071,339,107,1,81,480
3390072,339,108,1,101,465
3390073,339,109,1,30,515
3390074,339,111,1,65,395
3390075,339,113,1,24,80
3390076,339,113,2,3,692
3390077,339,114,1,44,110
3390078,339,114,2,9,1270
3390079,339,115,1,65,520
3390080,339,116,1,80,420
3390081,339,119,1,96,565
3390082,339,120,1,96,480
3390083,339,122,1,29,535
3390084,339,123,1,50,300
3390085,339,124,1,100,215
3390086,339,126,1,90,355
3390087,339,127,1,80,470
3390088,339,128,1,180,395
3390089,339,129,1,100,490
3390090,339,130,1,100,330
3390091,339,131,1,93,465
3390092,339,132,1,121,680
3390093,339,134,1,42,250
3390094,339,135,1,46,260
3390095,339,137,1,90,520
3390096,339,139,1,71,795
3390097,339,140,1,288,350
3390098,339,142,1,45,615
3390099,339,145,1,70,345
3390100,339,146,1,55,415
3390101,339,147,1,80,365
3390102,339,150,1,110,575
3390103,339,152,1,70,445
3390104,339,153,1,74,295
3390105,339,156,1,110,635
3390106,339,160,1,85,380
3390107,339,161,1,85,250
3390108,339,162,1,85,455
3390109,339,163,1,59,220
3390110,339,163,2,10,1355
3390111,339,166,1,90,520
3390112,339,171,1,73,470
3390113,339,172,1,100,505
3390114,339,174,1,100,250
3390115,339,175,1,35,545
3390116,339,176,1,90,570
3390117,339,177,1,95,515
3390118,339,178,1,121,610
3390119,339,180,1,75,575
3390120,339,181,1,60,340
3390121,339,183,1,92,665
3390122,339,184,1,85,540
3390123,339,186,1,120,575
3390124,339,189,1,23,495
3390125,339,191,1,75,530
3390126,339,192,1,75,405
3390127,339,193,1,80,415
3390128,339,194,1,147,600
3390129,339,196,1,100,365
3390130,339,197,1,65,245
3390131,339,200,1,30,380
3390132,339,201,1,85,385
3390133,339,202,1,100,475
3390134,339,203,1,96,610
3390135,339,205,1,80,530
3390136,339,206,1,47,125
3390137,339,206,2,29,1230
3390138,339,207,1,28,105
3390139,339,207,2,23,1020
3390140,339,213,1,19,535
3390141,339,214,1,21,490
3390142,339,215,1,70,500
3390143,339,222,1,33,615
3390144,339,224,1,79,570
3390145,339,225,1,73,395
3390146,339,227,1,120,655
3390147,339,228,1,90,615
3390148,339,230,1,75,430
