path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
2450001,245,8,1,461,655
2450002,245,9,1,553,690
2450003,245,10,1,138,1880
2450004,245,17,1,83,410
2450005,245,18,1,738,770
2450006,245,20,1,240,845
2450007,245,21,1,323,635
2450008,245,22,1,157,590
2450009,245,23,1,734,790
2450010,245,25,1,599,670
2450011,245,26,1,120,425
2450012,245,28,1,120,575
2450013,245,30,1,378,835
2450014,245,31,1,83,235
2450015,245,32,1,175,565
2450016,245,33,1,111,585
2450017,245,34,1,138,470
2450018,245,36,1,1107,1288
2450019,245,62,1,756,895
2450020,245,63,1,653,720
2450021,245,73,1,1217,1580
2450022,245,76,1,1032,1175
2450023,245,80,1,1154,1295
2450024,245,94,1,981,1135
2450025,245,101,1,56,390
2450026,245,102,3,14,70
2450027,245,102,8,4,72
2450028,245,104,1,50,240
2450029,245,105,1,40,145
2450030,245,113,1,69,405
2450031,245,117,1,111,320
2450032,245,118,1,32,80
2450033,245,119,1,56,280
2450034,245,127,1,55,345
2450035,245,128,1,45,305
2450036,245,129,1,65,305
2450037,245,132,1,88,505
2450038,245,134,1,51,135
2450039,245,141,2,17,305
2450040,245,145,3,85,319
2450041,245,145,8,23,320
2450042,245,150,1,60,300
2450043,245,152,1,65,130
2450044,245,153,1,60,115
2450045,245,159,3,100,403
2450046,245,161,3,90,345
2450047,245,162,1,40,150
2450048,245,166,1,56,290
2450049,245,167,1,85,580
2450050,245,171,1,116,420
2450051,245,175,8,4,72
2450052,245,176,1,100,375
2450053,245,179,1,90,185
2450054,245,180,1,80,395
2450055,245,184,1,51,280
2450056,245,187,1,65,100
2450057,245,192,2,24,465
2450058,245,202,8,7,148
2450059,245,205,1,50,290
2450060,245,213,2,45,911
2450061,245,214,2,45,1013
2450062,245,222,1,62,345
2450063,245,225,1,19,105
2450064,245,227,1,120,295
2450065,245,228,1,100,270
2450066,245,230,1,50,120
2450067,245,231,1,85,315
2450068,245,240,2,30,610
2450069,245,244,3,45,162
2450070,245,247,2,8,95
2450071,245,247,3,24,91
2450072,245,247,8,3,88
2450073,245,248,1,40,260
2450074,245,249,1,27,170
2450075,245,264,1,56,425
2450076,245,265,1,73,420
2450077,245,266,8,9,156
2450078,245,269,1,70,355
2450079,245,274,1,65,470
2450080,245,276,1,83,120
2450081,245,277,1,60,335
2450082,245,280,1,69,140
2450083,245,284,1,35,115
2450084,245,285,1,110,115
2450085,245,286,1,40,80
2450086,245,287,1,35,70
2450087,245,288,1,100,205
2450088,245,290,1,90,560
2450089,245,291,1,50,170
2450090,245,295,1,45,105
2450091,245,297,2,23,410
2450092,245,299,1,80,440
2450093,245,300,1,277,350
2450094,245,305,1,13,140
2450095,245,309,1,21,120
2450096,245,310,2,60,941
2450097,245,316,3,30,95
2450098,245,316,8,5,116
2450099,245,318,1,60,265
2450100,245,320,1,30,155
2450101,245,321,1,70,345
2450102,245,323,1,129,120
2450103,245,330,1,18,115
2450104,245,331,1,85,130
2450105,245,332,1,110,285
2450106,245,336,1,49,230
2450107,245,337,1,85,575
2450108,245,338,1,55,100
2450109,245,339,1,54,455
2450110,245,340,1,70,735
2450111,245,343,1,90,290
2450112,245,349,1,37,145
2450113,245,351,1,40,135
2450114,245,352,1,80,1035
2450115,245,357,1,65,145
2450116,245,365,2,40,721
2450117,245,367,1,60,235
2450118,245,368,1,30,75
2450119,245,370,2,12,205
2450120,245,371,1,60,140
2450121,245,546,1,74,115
2450122,245,552,1,203,755
2450123,245,663,1,646,870
