path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
3480001,348,8,1,120,250
3480002,348,9,1,304,470
3480003,348,10,1,194,975
3480004,348,11,1,415,750
3480005,348,12,1,397,1625
3480006,348,13,1,101,480
3480007,348,15,1,212,540
3480008,348,16,1,1497,1820
3480009,348,17,1,46,285
3480010,348,18,1,295,640
3480011,348,20,1,424,555
3480012,348,21,1,138,500
3480013,348,22,1,369,310
3480014,348,23,1,248,650
3480015,348,25,1,120,520
3480016,348,26,1,129,290
3480017,348,27,1,406,840
3480018,348,28,1,277,360
3480019,348,29,1,240,455
3480020,348,30,1,240,530
3480021,348,31,1,28,210
3480022,348,32,1,166,435
3480023,348,33,1,101,200
3480024,348,34,1,194,365
3480025,348,35,1,51,200
3480026,348,36,1,433,1240
3480027,348,37,1,332,830
3480028,348,38,1,323,790
3480029,348,39,1,461,825
3480030,348,40,1,277,740
3480031,348,41,1,231,800
3480032,348,42,1,194,585
3480033,348,43,1,296,800
3480034,348,44,1,37,325
3480035,348,48,1,502,875
3480036,348,49,1,502,740
3480037,348,51,1,430,795
3480038,348,53,1,850,1125
3480039,348,55,1,248,715
3480040,348,56,1,102,730
3480041,348,57,1,237,625
3480042,348,58,1,138,225
3480043,348,60,1,461,965
3480044,348,61,1,313,1060
3480045,348,62,1,302,760
3480046,348,63,1,261,560
3480047,348,64,1,378,870
3480048,348,66,1,192,640
3480049,348,67,1,390,780
3480050,348,68,1,521,900
3480051,348,70,1,590,1525
3480052,348,71,1,303,920
3480053,348,72,1,577,1280
3480054,348,73,1,544,1260
3480055,348,75,1,490,910
3480056,348,76,1,304,940
3480057,348,77,1,360,780
3480058,348,78,1,129,200
3480059,348,79,1,349,920
3480060,348,80,1,364,1025
3480061,348,81,1,387,760
3480062,348,82,1,640,675
3480063,348,83,1,365,655
3480064,348,85,1,649,860
3480065,348,87,1,433,690
3480066,348,88,1,558,815
3480067,348,89,1,430,660
3480068,348,90,1,418,755
3480069,348,91,1,158,570
3480070,348,92,1,507,870
3480071,348,93,1,237,440
3480072,348,94,1,298,810
3480073,348,95,1,157,330
3480074,348,96,1,334,805
3480075,348,97,1,681,875
3480076,348,98,1,335,605
3480077,348,99,1,436,825
3480078,348,100,2,35,1155
3480079,348,101,1,102,300
3480080,348,102,2,14,420
3480081,348,102,3,45,438
3480082,348,103,1,80,445
3480083,348,104,1,45,130
3480084,348,105,1,40,175
3480085,348,106,1,90,280
3480086,348,107,1,32,225
3480087,348,108,1,39,205
3480088,348,109,1,35,295
3480089,348,111,1,65,115
3480090,348,111,2,45,1350
3480091,348,111,3,95,828
3480092,348,112,1,83,275
3480093,348,113,1,98,145
3480094,348,114,1,88,160
3480095,348,115,1,260,60
3480096,348,116,1,20,105
3480097,348,116,2,55,1180
3480098,348,116,3,90,816
3480099,348,117,1,46,110
3480100,348,117,2,69,1370
3480101,348,118,1,65,55
3480102,348,118,2,28,510
3480103,348,119,1,68,285
3480104,348,120,1,51,150
3480105,348,121,1,24,265
3480106,348,122,1,28,150
3480107,348,123,1,32,45
3480108,348,123,2,8,165
3480109,348,123,3,6,144
3480110,348,123,8,12,185
3480111,348,124,1,35,75
3480112,348,124,2,30,490
3480113,348,124,3,65,705
3480114,348,124,8,32,522
3480115,348,126,1,26,100
3480116,348,126,2,50,1015
3480117,348,127,1,35,110
3480118,348,128,1,29,140
3480119,348,129,1,50,165
3480120,348,130,1,30,75
3480121,348,130,2,21,595
3480122,348,130,3,60,604
3480123,348,131,1,88,235
3480124,348,132,1,93,295
3480125,348,134,1,18,95
3480126,348,134,2,14,1335
3480127,348,134,3,24,1103
3480128,348,135,1,55,65
3480129,348,136,2,3,80
3480130,348,136,3,9,54
3480131,348,136,8,3,77
3480132,348,136,10,30,75
3480133,348,137,1,30,230
3480134,348,139,2,5,125
3480135,348,139,3,5,86
3480136,348,139,8,6,133
3480137,348,140,1,55,85
3480138,348,140,2,26,765
3480139,348,142,1,40,320
3480140,348,145,1,27,95
3480141,348,145,2,40,740
3480142,348,145,3,75,640
3480143,348,146,1,85,105
3480144,348,147,1,17,105
3480145,348,150,1,35,305
3480146,348,151,1,50,115
3480147,348,152,1,30,120
3480148,348,153,1,37,75
3480149,348,153,2,32,680
3480150,348,153,3,55,641
3480151,348,154,1,150,240
3480152,348,156,1,110,370
3480153,348,159,1,26,100
3480154,348,159,2,35,1050
3480155,348,159,3,169,609
3480156,348,160,1,90,170
3480157,348,160,2,23,390
3480158,348,160,8,22,378
3480159,348,161,1,70,95
3480160,348,161,2,29,800
3480161,348,161,3,80,672
3480162,348,162,1,29,175
3480163,348,163,1,98,150
3480164,348,164,1,55,80
3480165,348,166,1,34,170
3480166,348,167,1,28,310
3480167,348,171,1,41,230
3480168,348,172,1,30,105
3480169,348,172,2,40,1185
3480170,348,174,1,90,85
3480171,348,174,3,113,383
3480172,348,176,1,70,290
3480173,348,177,1,70,90
3480174,348,177,2,23,700
3480175,348,177,3,65,667
3480176,348,178,1,42,260
3480177,348,179,1,45,215
3480178,348,180,1,40,290
3480179,348,181,1,75,35
3480180,348,181,2,11,135
3480181,348,181,3,17,177
3480182,348,181,8,10,157
3480183,348,183,1,28,280
3480184,348,184,1,73,275
3480185,348,186,1,90,290
3480186,348,187,1,45,325
3480187,348,189,1,22,90
3480188,348,189,3,75,860
3480189,348,191,1,19,90
3480190,348,191,2,43,835
3480191,348,191,3,66,620
3480192,348,192,1,60,95
3480193,348,193,1,25,115
3480194,348,194,1,147,225
3480195,348,196,1,55,95
