path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
2740001,274,8,1,203,500
2740002,274,9,1,415,750
2740003,274,10,1,74,1190
2740004,274,11,1,507,1045
2740005,274,12,1,452,2010
2740006,274,13,1,277,775
2740007,274,15,1,387,1005
2740008,274,16,1,1633,2455
2740009,274,17,1,129,565
2740010,274,18,1,378,925
2740011,274,21,1,360,730
2740012,274,22,1,360,675
2740013,274,23,1,373,920
2740014,274,25,1,240,840
2740015,274,26,1,129,590
2740016,274,27,1,461,1245
2740017,274,28,1,166,760
2740018,274,29,1,240,755
2740019,274,31,1,51,590
2740020,274,32,1,203,745
2740021,274,33,1,258,475
2740022,274,35,1,55,775
2740023,274,36,1,507,1347
2740024,274,37,1,378,850
2740025,274,38,1,304,912
2740026,274,39,1,304,1054
2740027,274,40,1,350,955
2740028,274,41,1,332,735
2740029,274,42,1,277,700
2740030,274,43,1,457,935
2740031,274,48,1,538,1090
2740032,274,49,1,394,1440
2740033,274,50,1,609,1045
2740034,274,51,1,466,1040
2740035,274,55,1,384,945
2740036,274,56,1,282,975
2740037,274,57,1,373,940
2740038,274,58,1,78,605
2740039,274,61,1,531,1245
2740040,274,62,1,378,1027
2740041,274,63,1,282,685
2740042,274,66,1,361,955
2740043,274,67,1,446,1155
2740044,274,68,1,595,1405
2740045,274,70,1,885,1665
2740046,274,71,1,437,1155
2740047,274,72,1,705,1660
2740048,274,73,1,609,1540
2740049,274,75,1,512,1130
2740050,274,76,1,486,1145
2740051,274,77,1,461,1085
2740052,274,78,1,129,420
2740053,274,80,1,547,1205
2740054,274,81,1,461,1090
2740055,274,82,1,558,930
2740056,274,83,1,521,915
2740057,274,85,1,667,1015
2740058,274,87,1,443,1065
2740059,274,88,1,613,1095
2740060,274,89,1,538,900
2740061,274,90,1,446,1055
2740062,274,91,1,271,930
2740063,274,92,1,572,1200
2740064,274,93,1,305,755
2740065,274,94,1,490,1120
2740066,274,95,1,304,590
2740067,274,96,1,418,990
2740068,274,98,1,502,885
2740069,274,99,1,408,905
2740070,274,101,1,25,400
2740071,274,103,1,35,645
2740072,274,104,1,95,360
2740073,274,105,1,25,90
2740074,274,105,2,65,750
2740075,274,105,3,55,465
2740076,274,106,1,75,205
2740077,274,107,1,31,405
2740078,274,108,1,30,360
2740079,274,109,1,45,565
2740080,274,111,1,55,135
2740081,274,112,1,44,610
2740082,274,113,1,44,490
2740083,274,114,1,49,475
2740084,274,116,1,60,120
2740085,274,116,2,161,2670
2740086,274,117,1,60,680
2740087,274,118,1,32,745
2740088,274,119,1,23,240
2740089,274,120,1,24,290
2740090,274,122,1,51,315
2740091,274,123,1,45,315
2740092,274,124,1,34,280
2740093,274,126,1,30,245
2740094,274,127,1,100,260
2740095,274,128,1,27,85
2740096,274,128,2,70,775
2740097,274,129,1,45,190
2740098,274,129,2,15,210
2740099,274,129,8,12,207
2740100,274,130,1,40,260
2740101,274,131,1,31,370
2740102,274,132,1,112,485
2740103,274,134,1,37,345
2740104,274,135,1,32,290
2740105,274,136,1,35,420
2740106,274,137,1,24,230
2740107,274,137,2,28,510
2740108,274,139,1,25,525
2740109,274,140,1,35,275
2740110,274,142,1,40,425
2740111,274,145,1,35,285
2740112,274,146,1,35,575
2740113,274,147,1,74,270
2740114,274,150,1,29,325
2740115,274,151,1,30,350
2740116,274,152,1,29,335
2740117,274,154,1,45,435
2740118,274,159,1,26,345
2740119,274,160,1,150,255
2740120,274,161,1,23,140
2740121,274,162,1,40,125
2740122,274,163,1,54,425
2740123,274,164,1,148,310
2740124,274,165,1,26,355
2740125,274,166,1,23,295
2740126,274,171,1,95,585
2740127,274,172,1,26,300
2740128,274,174,1,95,155
2740129,274,175,1,170,305
2740130,274,176,1,65,175
2740131,274,177,1,60,265
2740132,274,178,1,46,555
2740133,274,180,1,50,235
2740134,274,181,1,150,355
2740135,274,183,1,25,285
2740136,274,184,1,27,325
2740137,274,186,1,80,215
2740138,274,189,1,28,330
2740139,274,191,1,27,310
2740140,274,192,1,55,245
2740141,274,193,1,71,340
2740142,274,194,1,51,460
2740143,274,196,1,110,285
2740144,274,197,1,130,345
2740145,274,200,1,45,470
2740146,274,201,1,90,390
2740147,274,202,1,45,330
2740148,274,203,1,29,360
2740149,274,204,1,88,555
2740150,274,205,1,40,100
2740151,274,206,1,137,370
2740152,274,207,1,37,390
2740153,274,209,1,35,555
2740154,274,210,1,100,250
2740155,274,212,1,42,375
2740156,274,213,1,25,380
2740157,274,214,1,65,340
2740158,274,215,1,40,400
2740159,274,218,1,150,860
2740160,274,219,1,140,305
2740161,274,222,1,26,380
2740162,274,224,1,25,340
2740163,274,225,1,30,105
2740164,274,227,1,80,165
2740165,274,228,1,65,170
2740166,274,230,1,40,375
2740167,274,231,1,45,555
2740168,274,233,1,85,300
2740169,274,235,1,40,70
2740170,274,236,1,45,480
2740171,274,237,1,40,955
2740172,274,240,1,55,255
2740173,274,242,1,133,435
2740174,274,243,1,24,265
2740175,274,245,1,29,490
2740176,274,246,1,40,350
2740177,274,247,1,70,150
2740178,274,248,1,35,75
2740179,274,248,2,32,330
2740180,274,248,3,27,255
2740181,274,248,8,14,299
2740182,274,249,1,30,85
2740183,274,249,2,75,845
2740184,274,252,1,35,140
2740185,274,253,1,65,330
2740186,274,257,1,54,540
2740187,274,259,1,55,255
2740188,274,261,1,65,325
2740189,274,263,1,40,395
2740190,274,264,1,79,395
2740191,274,265,1,32,335
2740192,274,266,1,54,315
2740193,274,267,1,27,290
2740194,274,269,1,65,245
2740195,274,270,1,50,245
2740196,274,272,1,95,555
2740197,274,275,1,30,355
2740198,274,277,1,74,315
2740199,274,279,1,27,1055
2740200,274,280,1,42,935
2740201,274,284,1,30,95
2740202,274,285,1,28,370
2740203,274,286,1,30,460
2740204,274,287,1,35,290
2740205,274,288,1,70,800
2740206,274,290,1,80,345
2740207,274,291,2,29,515
2740208,274,293,1,28,315
2740209,274,293,2,50,920
2740210,274,295,1,35,420
2740211,274,297,1,65,280
2740212,274,299,1,45,475
2740213,274,300,1,138,395
2740214,274,303,1,35,155
2740215,274,305,1,30,340
2740216,274,307,1,58,645
2740217,274,308,1,35,320
2740218,274,309,1,32,305
2740219,274,314,1,117,305
2740220,274,316,1,95,265
2740221,274,317,1,50,370
2740222,274,318,1,30,335
2740223,274,319,2,25,240
2740224,274,319,8,14,217
2740225,274,320,1,45,210
2740226,274,320,2,18,290
2740227,274,320,8,13,223
