path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
2610001,261,8,1,323,560
2610002,261,9,1,286,680
2610003,261,10,1,111,1385
2610004,261,11,1,599,1020
2610005,261,12,1,507,1925
2610006,261,13,1,323,585
2610007,261,16,1,2722,2535
2610008,261,17,1,138,575
2610009,261,18,1,424,810
2610010,261,20,1,461,785
2610011,261,21,1,452,690
2610012,261,22,1,341,470
2610013,261,23,1,429,905
2610014,261,25,1,295,750
2610015,261,26,1,175,365
2610016,261,27,1,350,1325
2610017,261,28,1,194,635
2610018,261,29,1,120,670
2610019,261,30,1,553,735
2610020,261,31,1,184,555
2610021,261,32,1,304,670
2610022,261,33,1,314,550
2610023,261,34,1,221,630
2610024,261,36,1,646,1218
2610025,261,37,1,415,830
2610026,261,38,1,369,815
2610027,261,39,1,332,930
2610028,261,40,1,360,865
2610029,261,41,1,452,765
2610030,261,42,1,221,645
2610031,261,43,1,457,775
2610032,261,48,1,645,1025
2610033,261,49,1,573,1080
2610034,261,50,1,717,950
2610035,261,51,1,609,945
2610036,261,55,1,440,915
2610037,261,56,1,316,890
2610038,261,57,1,497,825
2610039,261,61,1,667,1090
2610040,261,62,1,516,855
2610041,261,63,1,316,829
2610042,261,64,1,450,970
2610043,261,66,1,463,830
2610044,261,67,1,697,1030
2610045,261,68,1,707,1160
2610046,261,70,1,826,1790
2610047,261,71,1,320,1325
2610048,261,72,1,448,1560
2610049,261,73,1,448,1575
2610050,261,75,1,320,1160
2610051,261,77,1,646,850
2610052,261,78,1,148,435
2610053,261,80,1,334,1240
2610054,261,81,1,507,915
2610055,261,82,1,599,840
2610056,261,83,1,595,1080
2610057,261,85,1,681,835
2610058,261,87,1,507,1030
2610059,261,89,1,645,825
2610060,261,90,1,641,1045
2610061,261,91,1,429,765
2610062,261,92,1,817,1170
2610063,261,93,1,361,640
2610064,261,94,1,512,1020
2610065,261,96,1,298,875
2610066,261,98,1,558,875
2610067,261,99,1,461,1050
2610068,261,101,1,62,425
2610069,261,103,1,100,280
2610070,261,104,1,110,165
2610071,261,105,1,120,305
2610072,261,105,2,40,750
2610073,261,107,1,87,310
2610074,261,108,1,81,315
2610075,261,111,1,95,125
2610076,261,112,1,137,475
2610077,261,113,1,196,345
2610078,261,114,1,137,375
2610079,261,116,1,100,210
2610080,261,116,3,147,352
2610081,261,117,1,69,520
2610082,261,117,2,93,2194
2610083,261,119,1,56,320
2610084,261,120,1,113,250
2610085,261,122,1,90,265
2610086,261,123,1,85,275
2610087,261,123,2,74,1626
2610088,261,124,1,60,130
2610089,261,126,1,130,365
2610090,261,127,1,120,280
2610091,261,128,1,60,255
2610092,261,128,2,11,315
2610093,261,128,3,40,188
2610094,261,128,8,20,249
2610095,261,129,1,50,300
2610096,261,129,2,30,585
2610097,261,130,1,90,270
2610098,261,130,2,40,725
2610099,261,131,1,93,365
2610100,261,132,1,149,490
2610101,261,134,1,78,400
2610102,261,134,2,65,2090
2610103,261,135,1,88,330
2610104,261,135,2,59,1600
2610105,261,137,1,75,220
2610106,261,137,2,15,385
2610107,261,137,3,55,270
2610108,261,137,8,30,343
2610109,261,140,1,30,75
2610110,261,142,1,158,420
2610111,261,146,1,55,470
2610112,261,147,1,74,135
2610113,261,150,1,65,265
2610114,261,151,1,65,340
2610115,261,152,1,80,285
2610116,261,153,1,55,455
2610117,261,154,1,95,200
2610118,261,154,2,12,210
2610119,261,154,8,20,245
2610120,261,155,2,19,395
2610121,261,156,1,35,100
2610122,261,160,1,140,345
2610123,261,161,1,120,270
2610124,261,162,1,96,310
2610125,261,163,1,123,525
2610126,261,164,1,90,405
2610127,261,166,1,85,260
2610128,261,171,1,116,610
2610129,261,174,1,100,100
2610130,261,174,2,45,960
2610131,261,175,1,150,405
2610132,261,176,1,45,470
2610133,261,177,1,120,250
2610134,261,178,1,177,625
2610135,261,179,1,65,325
2610136,261,183,1,55,415
2610137,261,184,1,62,275
2610138,261,187,2,11,210
2610139,261,187,3,35,148
2610140,261,189,2,17,495
2610141,261,191,1,106,295
2610142,261,192,1,95,210
2610143,261,192,2,23,505
2610144,261,192,8,29,314
2610145,261,193,1,71,315
2610146,261,194,1,203,395
2610147,261,196,1,140,235
2610148,261,197,1,110,275
2610149,261,200,1,130,180
2610150,261,201,1,110,300
2610151,261,202,1,95,305
2610152,261,203,1,68,280
2610153,261,205,1,70,300
2610154,261,207,1,129,340
2610155,261,212,1,46,710
2610156,261,213,1,77,455
2610157,261,214,1,80,280
2610158,261,218,1,120,505
2610159,261,219,1,170,415
2610160,261,222,1,51,290
2610161,261,224,1,85,335
2610162,261,225,1,34,120
2610163,261,227,1,150,345
2610164,261,228,1,100,430
2610165,261,230,1,130,320
2610166,261,231,1,210,405
2610167,261,233,1,75,100
2610168,261,233,3,140,466
2610169,261,235,1,65,135
2610170,261,235,2,45,1395
2610171,261,236,1,85,330
2610172,261,236,2,55,1185
2610173,261,239,3,100,285
2610174,261,239,8,64,670
2610175,261,240,1,85,260
2610176,261,240,2,12,225
2610177,261,240,3,35,111
2610178,261,240,8,19,221
2610179,261,242,1,151,360
2610180,261,243,1,68,245
2610181,261,244,2,42,865
2610182,261,246,1,150,410
2610183,261,247,1,120,230
2610184,261,247,2,50,1030
2610185,261,248,1,70,100
2610186,261,248,2,29,765
2610187,261,249,1,75,315
2610188,261,251,2,40,815
2610189,261,252,1,60,245
2610190,261,252,2,20,535
2610191,261,252,8,45,452
2610192,261,253,1,100,315
2610193,261,257,1,221,505
2610194,261,259,2,5,125
2610195,261,259,3,19,97
2610196,261,259,8,9,134
2610197,261,260,3,270,435
2610198,261,260,8,48,526
2610199,261,263,1,158,390
2610200,261,264,1,68,330
2610201,261,265,1,79,370
2610202,261,266,1,100,280
2610203,261,267,1,35,285
2610204,261,269,1,28,80
2610205,261,269,2,35,640
2610206,261,269,3,330,388
2610207,261,269,8,52,568
2610208,261,270,1,70,210
2610209,261,270,2,11,275
2610210,261,270,8,18,239
2610211,261,273,1,60,1065
2610212,261,274,1,75,280
2610213,261,275,1,85,330
2610214,261,277,1,93,175
2610215,261,280,2,94,1936
2610216,261,287,1,90,320
2610217,261,288,1,240,465
2610218,261,290,1,140,395
2610219,261,291,1,65,260
2610220,261,291,2,75,1211
2610221,261,293,1,40,90
2610222,261,293,2,21,555
2610223,261,293,3,80,210
2610224,261,295,1,110,365
2610225,261,297,1,108,255
2610226,261,299,1,130,405
2610227,261,300,1,157,360
2610228,261,303,1,60,100
2610229,261,305,1,110,330
2610230,261,308,1,95,275
2610231,261,309,1,88,315
2610232,261,309,2,60,1935
2610233,261,310,1,157,460
2610234,261,311,1,68,485
2610235,261,314,1,117,250
2610236,261,316,1,120,220
2610237,261,317,1,120,350
2610238,261,318,1,75,295
2610239,261,319,2,50,945
2610240,261,320,1,30,370
2610241,261,325,1,102,330
2610242,261,326,1,80,80
2610243,261,326,2,35,645
2610244,261,326,3,229,380
2610245,261,326,8,51,549
2610246,261,327,1,88,295
2610247,261,329,1,89,175
2610248,261,330,1,148,405
2610249,261,331,1,55,270
2610250,261,332,1,70,424
2610251,261,334,1,60,325
2610252,261,335,1,95,265
2610253,261,335,2,26,420
2610254,261,336,1,162,410
2610255,261,337,1,110,375
2610256,261,338,1,88,470
2610257,261,339,1,123,480
2610258,261,340,1,150,335
2610259,261,341,1,120,475
2610260,261,342,2,10,165
2610261,261,342,3,27,131
2610262,261,342,8,15,184
2610263,261,343,1,120,450
2610264,261,345,1,85,325
2610265,261,347,1,133,295
2610266,261,348,1,75,245
2610267,261,349,1,88,490
2610268,261,351,1,85,270
2610269,261,351,2,30,610
2610270,261,351,8,13,472
2610271,261,352,2,45,850
2610272,261,353,1,55,270
2610273,261,353,2,40,765
2610274,261,354,2,27,855
2610275,261,356,1,92,345
2610276,261,357,1,78,495
2610277,261,359,1,195,495
2610278,261,362,1,170,460
2610279,261,364,1,106,315
2610280,261,365,1,70,435
2610281,261,367,2,19,540
2610282,261,368,1,90,250
2610283,261,368,2,40,1275
2610284,261,370,1,100,225
2610285,261,371,1,60,440
2610286,261,546,1,92,405
2610287,261,547,1,461,835
2610288,261,550,1,463,925
2610289,261,552,1,542,890
2610290,261,553,1,485,1110
2610291,261,554,1,429,930
2610292,261,626,1,452,890
2610293,261,663,1,314,695
