path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
2920001,292,102,2,24,810
2920002,292,116,2,35,2220
2920003,292,119,1,24,425
2920004,292,120,2,45,3114
2920005,292,123,2,19,285
2920006,292,124,2,35,780
2920007,292,136,2,15,265
2920008,292,136,3,14,206
2920009,292,139,2,12,300
2920010,292,150,1,35,550
2920011,292,174,2,30,1190
2920012,292,176,1,50,1470
2920013,292,179,1,55,625
2920014,292,184,1,27,445
2920015,292,213,2,14,345
2920016,292,214,2,9,150
2920017,292,215,2,8,100
2920018,292,215,3,2,109
2920019,292,224,2,51,3404
2920020,292,225,1,45,160
2920021,292,228,1,50,765
2920022,292,235,1,40,640
2920023,292,244,2,30,1125
2920024,292,247,2,23,770
2920025,292,279,3,6,188
2920026,292,290,1,50,930
2920027,292,291,1,35,595
2920028,292,296,3,24,378
2920029,292,297,2,26,445
2920030,292,297,3,13,434
2920031,292,300,1,83,515
2920032,292,316,2,27,980
2920033,292,337,1,40,1430
2920034,292,348,2,15,425
2920035,292,348,3,18,314
2920036,292,364,2,21,430
2920037,292,365,2,21,495
