path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
3710001,371,9,1,332,440
3710002,371,10,1,111,1015
3710003,371,11,1,433,880
3710004,371,12,1,452,1795
3710005,371,13,1,203,445
3710006,371,15,1,332,700
3710007,371,16,1,1497,1755
3710008,371,17,1,65,380
3710009,371,18,1,323,580
3710010,371,20,1,341,565
3710011,371,21,1,387,425
3710012,371,22,1,258,415
3710013,371,23,1,314,655
3710014,371,25,1,240,455
3710015,371,26,1,184,240
3710016,371,27,1,387,1080
3710017,371,28,1,101,380
3710018,371,29,1,304,485
3710019,371,30,1,295,340
3710020,371,31,1,69,300
3710021,371,32,1,212,415
3710022,371,33,1,111,130
3710023,371,34,1,148,200
3710024,371,36,1,599,1287
3710025,371,37,1,406,895
3710026,371,38,1,461,1275
3710027,371,39,1,397,975
3710028,371,40,1,507,920
3710029,371,41,1,304,880
3710030,371,42,1,221,745
3710031,371,43,1,376,770
3710032,371,44,1,51,435
3710033,371,48,1,466,1055
3710034,371,49,1,502,930
3710035,371,51,1,466,1250
3710036,371,53,1,789,1105
3710037,371,55,1,316,770
3710038,371,57,1,215,745
3710039,371,58,1,129,320
3710040,371,60,1,640,995
3710041,371,61,1,422,1235
3710042,371,66,1,203,745
3710043,371,67,1,502,990
3710044,371,68,1,447,1140
3710045,371,70,1,708,1500
3710046,371,71,1,538,1195
3710047,371,72,1,577,1410
3710048,371,73,1,609,1385
3710049,371,75,1,426,965
3710050,371,76,1,425,925
3710051,371,77,1,461,770
3710052,371,78,1,184,285
3710053,371,79,1,395,1055
3710054,371,80,1,516,960
3710055,371,81,1,424,865
3710056,371,82,1,490,880
3710057,371,83,1,521,825
3710058,371,85,1,585,730
3710059,371,87,1,406,840
3710060,371,88,1,530,1005
3710061,371,89,1,538,910
3710062,371,90,1,418,785
3710063,371,91,1,294,610
3710064,371,92,1,461,930
3710065,371,93,1,316,625
3710066,371,94,1,426,805
3710067,371,96,1,364,805
3710068,371,97,1,599,910
3710069,371,98,1,362,975
3710070,371,99,1,367,805
3710071,371,101,1,40,395
3710072,371,103,1,45,415
3710073,371,104,1,85,240
3710074,371,104,2,40,1800
3710075,371,105,1,100,380
3710076,371,106,1,65,580
3710077,371,107,1,161,380
3710078,371,108,1,43,400
3710079,371,109,1,40,440
3710080,371,111,1,85,160
3710081,371,112,1,137,315
3710082,371,113,1,118,210
3710083,371,114,1,123,260
3710084,371,115,1,120,330
3710085,371,116,1,40,180
3710086,371,118,1,120,255
3710087,371,119,1,34,355
3710088,371,120,1,102,410
3710089,371,122,1,79,325
3710090,371,123,1,65,95
