path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
2850001,285,8,1,249,525
2850002,285,9,1,240,685
2850003,285,10,1,69,1170
2850004,285,11,1,378,1030
2850005,285,12,1,424,2005
2850006,285,13,1,231,560
2850007,285,15,1,360,720
2850008,285,16,1,1497,1725
2850009,285,17,1,46,530
2850010,285,18,1,378,790
2850011,285,20,1,350,750
2850012,285,21,1,295,720
2850013,285,22,1,461,465
2850014,285,23,1,327,645
2850015,285,25,1,203,680
2850016,285,26,1,120,365
2850017,285,27,1,461,1175
2850018,285,28,1,129,435
2850019,285,31,1,46,355
2850020,285,33,1,120,415
2850021,285,34,1,138,435
2850022,285,35,1,65,535
2850023,285,36,1,415,1293
2850024,285,37,1,314,925
2850025,285,39,1,387,885
2850026,285,40,1,397,940
2850027,285,41,1,231,840
2850028,285,42,1,203,685
2850029,285,43,1,376,865
2850030,285,48,1,502,990
2850031,285,49,1,430,920
2850032,285,51,1,466,995
2850033,285,55,1,350,765
2850034,285,56,1,226,815
2850035,285,57,1,316,725
2850036,285,58,1,55,440
2850037,285,60,1,646,1030
2850038,285,62,1,447,805
2850039,285,63,1,296,725
2850040,285,64,1,414,1015
2850041,285,66,1,294,740
2850042,285,67,1,390,955
2850043,285,68,1,521,1080
2850044,285,70,1,1062,1655
2850045,285,71,1,437,1145
2850046,285,72,1,641,1405
2850047,285,73,1,544,1420
2850048,285,75,1,448,1070
2850049,285,76,1,395,1025
2850050,285,78,1,175,330
2850051,285,79,1,486,1215
2850052,285,81,1,461,995
2850053,285,82,1,544,1025
2850054,285,83,1,484,1100
2850055,285,85,1,640,990
2850056,285,87,1,424,880
2850057,285,88,1,530,990
2850058,285,89,1,538,860
2850059,285,90,1,390,975
2850060,285,91,1,271,715
2850061,285,92,1,649,1025
2850062,285,93,1,316,570
2850063,285,94,1,362,1000
2850064,285,95,1,175,495
2850065,285,96,1,395,850
2850066,285,98,1,390,1060
2850067,285,99,1,395,895
2850068,285,101,1,34,440
2850069,285,103,1,45,480
2850070,285,104,1,40,110
2850071,285,105,1,55,265
2850072,285,106,1,45,525
2850073,285,107,1,39,405
2850074,285,108,1,32,295
2850075,285,109,1,40,80
2850076,285,111,1,55,185
2850077,285,112,1,133,325
2850078,285,113,1,93,275
2850079,285,114,1,113,310
2850080,285,116,1,40,175
2850081,285,117,1,51,470
2850082,285,118,1,27,330
2850083,285,120,1,28,295
2850084,285,121,1,25,280
2850085,285,122,1,29,280
2850086,285,123,1,27,120
2850087,285,124,1,50,155
2850088,285,126,1,90,265
2850089,285,127,1,28,315
2850090,285,128,1,30,115
2850091,285,129,1,40,255
2850092,285,130,1,28,85
2850093,285,130,2,59,1125
2850094,285,131,1,74,310
2850095,285,134,1,83,130
2850096,285,136,1,29,265
2850097,285,137,1,45,240
2850098,285,140,1,45,135
2850099,285,142,1,45,320
2850100,285,145,1,28,145
2850101,285,146,1,60,250
2850102,285,147,1,62,175
2850103,285,150,1,45,345
2850104,285,151,1,30,65
2850105,285,151,10,29,785
2850106,285,152,2,11,150
2850107,285,152,3,15,182
2850108,285,152,8,11,168
2850109,285,153,1,25,275
2850110,285,154,1,40,400
2850111,285,156,1,69,265
2850112,285,159,1,30,450
2850113,285,161,1,60,160
2850114,285,162,1,30,225
2850115,285,163,1,118,365
2850116,285,164,1,75,215
2850117,285,166,1,34,220
2850118,285,171,1,65,415
2850119,285,172,1,35,275
2850120,285,174,1,90,155
2850121,285,177,1,35,85
2850122,285,177,2,55,1040
2850123,285,178,1,158,485
2850124,285,181,1,130,255
2850125,285,183,1,60,405
2850126,285,184,1,34,335
2850127,285,186,1,100,285
2850128,285,187,1,40,390
2850129,285,189,1,26,95
2850130,285,189,10,60,1260
2850131,285,191,1,46,280
2850132,285,192,1,50,115
2850133,285,193,1,27,310
2850134,285,194,1,124,425
2850135,285,196,1,75,280
2850136,285,197,1,65,265
2850137,285,200,1,60,265
2850138,285,201,1,110,320
2850139,285,203,1,34,455
2850140,285,204,1,60,505
2850141,285,205,1,60,260
2850142,285,207,1,123,280
2850143,285,210,1,40,130
2850144,285,212,1,32,460
2850145,285,213,1,20,270
2850146,285,213,2,64,2313
2850147,285,214,1,30,145
2850148,285,214,2,64,2389
2850149,285,215,1,30,275
2850150,285,218,1,30,1250
2850151,285,222,1,34,365
2850152,285,224,1,34,305
2850153,285,225,1,27,185
2850154,285,227,1,55,355
2850155,285,228,1,40,410
2850156,285,230,1,30,190
2850157,285,230,3,20,363
2850158,285,231,1,45,305
2850159,285,233,1,30,135
2850160,285,235,1,45,295
2850161,285,237,1,35,810
2850162,285,239,1,55,155
2850163,285,240,1,35,115
2850164,285,242,1,44,460
2850165,285,243,1,40,300
2850166,285,245,1,110,120
2850167,285,246,1,170,255
2850168,285,247,1,95,125
2850169,285,248,1,30,165
2850170,285,249,1,30,275
2850171,285,252,1,12,100
2850172,285,252,2,67,1345
2850173,285,253,1,35,50
2850174,285,257,1,118,385
2850175,285,259,1,30,105
2850176,285,261,1,40,315
2850177,285,262,1,62,580
2850178,285,263,1,45,395
2850179,285,265,1,45,375
2850180,285,266,1,35,130
2850181,285,267,1,21,55
2850182,285,267,2,2,650
2850183,285,267,3,35,567
2850184,285,267,10,23,630
2850185,285,269,1,45,155
2850186,285,270,1,40,95
2850187,285,273,1,65,1310
2850188,285,274,1,28,270
