path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
1550001,155,38,1,304,1832
1550002,155,63,1,234,815
1550003,155,96,1,395,1245
1550004,155,100,3,150,308
1550005,155,105,2,210,8495
1550006,155,111,3,177,365
1550007,155,116,3,148,275
1550008,155,128,2,55,775
1550009,155,129,2,30,925
1550010,155,130,2,27,480
1550011,155,135,2,46,1260
1550012,155,137,3,147,372
1550013,155,141,2,15,285
1550014,155,154,2,12,270
1550015,155,154,8,17,204
1550016,155,162,1,40,240
1550017,155,166,1,68,145
1550018,155,177,2,30,565
1550019,155,183,1,46,365
1550020,155,186,2,230,8910
1550021,155,187,2,45,605
1550022,155,189,2,19,295
1550023,155,192,2,7,95
1550024,155,192,3,13,79
1550025,155,192,8,5,79
1550026,155,225,1,40,110
1550027,155,235,2,85,1800
1550028,155,236,2,26,780
1550029,155,239,3,110,309
1550030,155,240,2,7,85
1550031,155,240,3,7,86
1550032,155,240,8,6,88
1550033,155,243,1,45,125
1550034,155,248,2,45,1290
1550035,155,249,2,240,9030
1550036,155,251,2,210,8580
1550037,155,252,2,10,295
1550038,155,252,3,21,193
1550039,155,252,8,22,255
1550040,155,259,2,13,345
1550041,155,259,8,23,260
1550042,155,260,8,34,393
1550043,155,261,2,19,390
1550044,155,261,8,20,254
1550045,155,267,2,55,1020
1550046,155,269,3,260,330
1550047,155,269,8,47,551
1550048,155,270,8,31,340
1550049,155,273,1,60,355
1550050,155,291,2,55,1455
1550051,155,293,2,17,435
1550052,155,293,3,32,174
1550053,155,293,8,33,399
1550054,155,303,2,45,820
1550055,155,306,3,168,344
1550056,155,309,2,49,1680
1550057,155,311,1,68,100
1550058,155,319,2,65,1265
1550059,155,326,8,30,344
1550060,155,335,2,6,175
1550061,155,335,3,13,159
1550062,155,335,8,13,164
1550063,155,342,2,20,540
1550064,155,342,8,39,412
1550065,155,351,2,190,8295
1550066,155,351,8,8,700
1550067,155,352,2,40,1125
1550068,155,353,2,18,510
1550069,155,354,2,15,450
1550070,155,367,2,100,1290
1550071,155,368,2,28,960
1550072,155,370,2,20,385
