path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
1030001,103,10,1,129,1070
1030002,103,11,1,221,1055
1030003,103,12,1,341,2185
1030004,103,13,1,129,485
1030005,103,15,1,341,790
1030006,103,17,1,88,480
1030007,103,18,1,277,750
1030008,103,20,1,323,755
1030009,103,21,1,240,795
1030010,103,22,1,138,465
1030011,103,23,1,267,775
1030012,103,25,1,212,665
1030013,103,26,1,88,250
1030014,103,27,1,221,1210
1030015,103,28,1,175,515
1030016,103,29,1,83,715
1030017,103,30,1,258,695
1030018,103,31,1,78,205
1030019,103,32,1,175,415
1030020,103,33,1,88,295
1030021,103,34,1,111,395
1030022,103,35,1,92,285
1030023,103,36,1,461,1510
1030024,103,37,1,350,1120
1030025,103,38,1,323,1020
1030026,103,39,1,295,1200
1030027,103,40,1,323,1190
1030028,103,41,1,332,1020
1030029,103,42,1,249,885
1030030,103,55,1,282,785
1030031,103,56,1,203,770
1030032,103,57,1,260,710
1030033,103,58,1,92,470
1030034,103,61,1,599,1420
1030035,103,62,1,302,1050
1030036,103,63,1,254,944
1030037,103,64,1,396,1335
1030038,103,66,1,237,725
1030039,103,67,1,223,1040
1030040,103,68,1,305,1240
1030041,103,70,1,354,1615
1030042,103,72,1,307,1345
1030043,103,73,1,301,1325
1030044,103,75,1,213,1115
1030045,103,76,1,200,1050
1030046,103,77,1,240,1010
1030047,103,78,1,88,245
1030048,103,80,1,231,1130
1030049,103,81,1,212,1030
1030050,103,82,1,408,960
1030051,103,83,1,372,970
1030052,103,85,1,408,960
1030053,103,88,1,446,880
1030054,103,89,1,466,1300
1030055,103,90,1,237,955
1030056,103,91,1,226,645
1030057,103,93,1,147,700
1030058,103,94,1,203,985
1030059,103,96,1,192,765
1030060,103,98,1,223,925
1030061,103,99,1,218,930
1030062,103,101,1,79,540
1030063,103,104,1,35,65
1030064,103,105,1,75,520
1030065,103,106,1,50,650
1030066,103,107,1,81,465
1030067,103,108,1,35,445
1030068,103,109,1,35,730
1030069,103,109,2,180,2055
1030070,103,111,1,65,340
1030071,103,116,1,65,315
1030072,103,120,1,33,445
1030073,103,122,1,79,370
1030074,103,123,1,21,270
1030075,103,124,1,26,350
1030076,103,126,1,40,465
1030077,103,127,1,30,465
1030078,103,128,1,65,325
1030079,103,129,1,70,390
1030080,103,130,1,60,265
1030081,103,130,2,200,2235
1030082,103,131,1,84,475
1030083,103,132,1,93,665
1030084,103,134,1,26,250
1030085,103,135,1,65,345
1030086,103,136,1,70,430
1030087,103,137,1,60,380
1030088,103,140,1,65,395
1030089,103,142,1,40,590
1030090,103,145,1,70,320
1030091,103,146,1,18,215
1030092,103,147,1,66,340
1030093,103,150,1,40,515
1030094,103,151,1,40,465
1030095,103,153,1,28,490
1030096,103,154,1,110,665
1030097,103,156,1,100,840
1030098,103,160,1,75,450
1030099,103,161,1,60,395
1030100,103,162,1,30,405
1030101,103,164,1,50,400
1030102,103,166,1,34,405
1030103,103,171,1,100,360
1030104,103,174,1,60,335
1030105,103,174,2,226,2835
1030106,103,176,1,50,725
1030107,103,177,1,75,430
1030108,103,178,1,121,630
1030109,103,179,1,50,575
1030110,103,180,1,45,665
1030111,103,181,1,65,470
1030112,103,183,1,32,590
1030113,103,184,1,40,555
1030114,103,186,1,85,620
1030115,103,189,1,35,400
1030116,103,191,1,23,480
1030117,103,192,1,60,330
1030118,103,193,1,35,445
1030119,103,194,1,113,595
1030120,103,196,1,65,320
1030121,103,197,1,60,465
1030122,103,200,1,60,70
1030123,103,201,1,70,365
1030124,103,202,1,90,505
1030125,103,203,1,34,665
1030126,103,205,1,75,370
1030127,103,206,1,49,245
1030128,103,207,1,83,285
1030129,103,207,2,9,390
1030130,103,212,1,32,785
1030131,103,213,1,19,280
1030132,103,214,1,21,275
1030133,103,215,1,75,765
1030134,103,218,1,65,755
1030135,103,224,1,73,490
1030136,103,225,1,30,470
1030137,103,227,1,60,610
1030138,103,228,1,100,585
1030139,103,230,1,25,470
1030140,103,231,1,60,235
1030141,103,233,1,60,440
1030142,103,235,1,85,555
1030143,103,236,1,65,250
1030144,103,240,1,50,335
1030145,103,242,1,97,605
1030146,103,243,1,34,470
1030147,103,244,2,214,2775
1030148,103,247,1,60,360
1030149,103,247,2,161,2415
1030150,103,248,1,70,390
1030151,103,249,1,80,380
1030152,103,252,1,25,405
1030153,103,253,1,21,300
1030154,103,259,1,65,440
1030155,103,261,1,70,320
1030156,103,263,1,90,580
1030157,103,265,1,45,535
1030158,103,266,2,180,2535
1030159,103,267,1,23,240
1030160,103,269,1,70,370
1030161,103,270,1,30,445
1030162,103,273,1,78,1575
1030163,103,274,1,75,630
1030164,103,275,1,75,425
1030165,103,277,1,70,400
1030166,103,282,1,85,625
1030167,103,284,1,70,390
1030168,103,285,1,40,400
1030169,103,286,1,30,505
1030170,103,287,1,90,430
1030171,103,288,1,28,305
1030172,103,291,1,45,565
1030173,103,293,1,70,320
1030174,103,295,1,65,395
1030175,103,297,1,67,325
1030176,103,299,1,60,190
1030177,103,300,1,60,620
1030178,103,303,1,50,255
1030179,103,305,1,65,305
1030180,103,307,1,115,660
1030181,103,309,1,51,225
1030182,103,310,1,69,525
1030183,103,314,1,21,535
1030184,103,316,1,65,435
1030185,103,316,2,200,2685
1030186,103,317,1,50,175
1030187,103,318,1,40,505
1030188,103,320,1,35,525
1030189,103,321,1,45,585
1030190,103,323,1,78,205
1030191,103,325,1,93,465
1030192,103,326,1,100,635
1030193,103,327,1,55,230
1030194,103,329,1,27,450
1030195,103,330,1,27,195
1030196,103,331,1,69,255
1030197,103,331,2,13,255
1030198,103,332,1,55,730
1030199,103,335,1,25,405
1030200,103,336,1,84,225
1030201,103,337,1,90,1095
1030202,103,338,1,28,420
1030203,103,340,1,90,690
1030204,103,341,1,65,770
1030205,103,342,1,65,390
1030206,103,345,1,75,420
1030207,103,347,1,84,670
1030208,103,348,1,60,420
1030209,103,349,1,32,470
1030210,103,351,1,70,385
1030211,103,352,1,100,825
1030212,103,353,1,45,325
1030213,103,356,1,32,500
1030214,103,357,1,27,475
1030215,103,359,1,80,765
1030216,103,364,1,62,385
1030217,103,365,1,21,520
1030218,103,367,1,35,585
1030219,103,370,1,60,320
1030220,103,371,1,37,495
1030221,103,547,1,184,910
1030222,103,552,1,271,770
1030223,103,626,1,282,795
1030224,103,663,1,258,920
