path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
2710001,271,118,2,100,1995
2710002,271,124,2,92,1080
2710003,271,124,3,44,905
2710004,271,134,2,92,2854
2710005,271,147,2,65,435
2710006,271,147,3,22,322
2710007,271,153,2,88,2468
2710008,271,160,2,92,1230
2710009,271,193,2,17,255
2710010,271,196,2,34,760
2710011,271,196,3,34,709
2710012,271,217,2,40,190
2710013,271,262,2,65,360
2710014,271,262,3,20,195
2710015,271,297,2,92,1380
2710016,271,310,2,110,2340
2710017,271,329,2,10,120
2710018,271,329,3,9,74
2710019,271,338,2,111,2040
2710020,271,357,2,92,2904
