8,95.0,2735,2180158,2070002
9,117.0,2951,2180145,1910020,290004
10,64.0,1650,2180263,3640003
11,174.0,3635,2180225,3140041,560040,550083,980005
12,191.0,2395,2180225,3140041,560005
13,60.0,1130,2180225,3140006
14,228.0,7965,2180225,3140041,560079,930280,5500243,5530051,710007
15,145.0,1375,2180225,3140009,170051,690006
16,261.0,6384,2180225,3140041,560274,5510001,180268,5470065,820009
17,46.0,1030,2180225,3140009
18,75.0,2945,2180225,3140041,560274,5510001
20,101.0,1355,2180225,3140011
21,147.0,950,2180100,1230012
22,74.0,1000,2180225,3140013
23,89.0,4775,2180225,3140041,560079,930280,5500011
24,148.0,1381,2180263,3640200,2130015
25,136.0,1740,2180225,3140041,560015
26,55.0,790,2180161,2140017
27,209.0,1905,2180225,3140041,560017
28,60.0,1130,2180225,3140019
29,101.0,1100,2180145,1910020
30,151.0,1035,2180161,2140021
31,38.0,780,2180225,3140022
32,60.0,990,2180225,3140023
33,60.0,1195,2180145,1910296,3580001
34,60.0,1835,2180158,2070028
35,73.0,1155,2180145,1910296,3580003
36,293.0,1823,2180145,1910271,3290031,400027
37,217.0,1910,2180145,1910271,3290031,400029
38,174.0,1318,2180251,3450225,3050219,2770029
39,210.0,1825,2180145,1910271,3290031,400032
40,192.0,1475,2180145,1910271,3290031
41,183.0,1255,2180145,1910271,3290032
42,169.0,1150,2180161,2140033
43,229.0,1620,2180225,3140009,170051,690031
44,59.0,1102,2180109,1340036,450037
45,52.0,860,2180109,1340036
48,254.0,5525,2180225,3140041,560079,930280,5500243,5530067,890037
50,237.0,5450,2180225,3140041,560079,930280,5500243,5530035
51,238.0,5903,2180225,3140041,560079,930280,5500243,5530067,890043
52,52.0,702,2180242,3360039
53,173.0,2030,2180225,3140278,3390077,940065,790069,960040
55,79.0,2765,2180225,3140041,560040
56,72.0,1320,2180225,3140041
57,82.0,3525,2180225,3140041,560042
58,58.0,1845,2180251,3450225,3050172,2120118,1710063,780046
59,232.0,2582,2180225,3140006,130043,610043
60,230.0,2270,2180225,3140006,130043,610071,850045
61,208.0,2095,2180225,3140006,130043
62,221.0,2300,2180145,1910296,3580004
63,182.0,1230,2180251,3450225,3050158,1930047
64,308.0,1440,2180182,2520201,2050049
65,309.0,1590,2180182,2520201,2050050
66,83.0,3805,2180225,3140041,560050
67,176.0,3680,2180225,3140041,560040,550083,980053
68,231.0,1980,2180225,3140006,130050
69,58.0,1125,2180225,3140009,170051
70,384.0,5855,2180225,3140041,560079,930280,5500243,5530052,720054
71,194.0,5415,2180225,3140041,560079,930280,5500243,5530051
72,271.0,5675,2180225,3140041,560079,930280,5500243,5530052
73,265.0,5515,2180225,3140041,560079,930280,5500243,5530053
74,46.0,865,2180225,3140191,2250058
75,160.0,2000,2180225,3140278,3390077,940060
76,190.0,4070,2180225,3140278,3390077,940065,790069,960040,530051
77,155.0,1835,2180225,3140041,560079,930066
78,52.0,1395,2180251,3450225,3050172,2120118,1710063
79,160.0,1960,2180225,3140278,3390077,940065
80,208.0,3260,2180225,3140041,560040,550065
81,167.0,2255,2180225,3140041,560277,5520069
82,216.0,3580,2180225,3140041,560274,5510001,180268,5470065
83,226.0,2065,2180225,3140041,560079,930066,770067
84,56.0,1120,2180225,3140067
85,227.0,2249,2180225,3140006,130043,610071
86,53.0,960,2180263,3640070
87,197.0,1775,2180225,3140006,130069
88,165.0,3035,2180225,3140041,560040,550083,980075
89,215.0,5390,2180225,3140041,560079,930280,5500243,5530067
90,175.0,1660,2180225,3140278,3390073
91,78.0,2335,2180225,3140041,560075
92,230.0,2695,2180225,3140006,130043,610078
93,73.0,1595,2180225,3140041,560079
94,153.0,1700,2180225,3140278,3390077
95,64.0,1250,2180225,3140009,170051,690074
96,161.0,2010,2180225,3140278,3390077,940065,790069
97,237.0,5470,2180225,3140041,560079,930280,5500243,5530074
