8,189.0,4230,670071,900249,3390093,1130164,2070002
9,180.0,1740,670041,560015,250003
10,203.0,2555,670071,900249,3390255,3650003
11,28.0,1440,670079,980005
12,73.0,950,670005
13,157.0,870,670071,900009,170006
14,118.0,3020,670053,710007
15,134.0,975,670079,980008
16,137.0,5252,670079,980046,610066,820009
17,134.0,760,670071,900009
18,95.0,4645,670014,230278,5500245,5540258,5510001
20,209.0,1160,670041,560015,250011
21,190.0,5066,670079,980005,110065,810064,770012
22,197.0,1045,670071,900249,3390012
23,78.0,295,670014
24,107.0,355,670015
25,159.0,1020,670041,560015
26,183.0,1130,670071,900249,3390016
27,73.0,340,670018
28,184.0,1710,670071,900249,3390093,1130019
29,196.0,3738,670041,560015,250003,90022
30,276.0,1190,670071,900009,170006,130019
31,165.0,995,670071,900249,3390021
32,164.0,877,670071,900035,440024
33,154.0,3566,670071,900249,3390093,1130027,340025
34,149.0,2790,670071,900249,3390093,1130027
35,171.0,3931,670071,900249,3390093,1130027,340025,330027
36,364.0,1550,670079,980028
37,354.0,2750,670071,900249,3390161,2140315,3290031,400029
38,317.0,2193,670071,900249,3390255,3650265,2770029
39,347.0,2665,670071,900249,3390161,2140315,3290031,400032
40,329.0,2315,670071,900249,3390161,2140315,3290031
41,320.0,2095,670071,900249,3390161,2140315,3290032
42,297.0,2199,670041,560111,1300033
43,255.0,1070,670071,900034
44,162.0,720,670071,900035
45,169.0,963,670071,900035,440038
48,135.0,525,670037
50,150.0,2080,670079,980005,110065,810039
51,149.0,615,670039
52,175.0,2577,670071,900249,3390093,1130164,2070105,1170214,3360039
53,56.0,415,670074,940065,790069,960040
55,94.0,874,670079,980042
56,95.0,600,670041
57,95.0,370,670042
58,186.0,3365,670071,900249,3390093,1130164,2070105,1170039,780046
59,97.0,1712,670079,980046,610043
60,95.0,1400,670079,980046,610071,850045
61,73.0,1225,670079,980046
62,365.0,3568,670041,560228,3140157,1910296,3580004
63,321.0,2894,670041,560111,1300033,420052
64,422.0,2030,670071,900249,3390047
65,405.0,2180,670071,900249,3390048
66,95.0,440,670049
68,132.0,2135,670079,980005,110065,810069,830052
69,146.0,855,670071,900009,170051
70,220.0,815,670052
71,84.0,470,670053
72,169.0,650,670054
73,161.0,2305,670079,980005,110065,810058
74,176.0,1505,670071,900249,3390166,2250058
75,43.0,385,670074,940060
76,73.0,2455,670074,940065,790069,960040,530051
77,62.0,3971,670079,980005,110065,810064
78,180.0,2915,670071,900249,3390093,1130164,2070105,1170039
79,43.0,345,670074,940065
80,91.0,265,670074,940066
81,37.0,1800,670079,980005,110065
82,92.0,2448,670079,980046,610066
83,111.0,2075,670079,980005,110065,810069
84,187.0,3160,670071,900249,3390093,1130164,2070105,1170044
85,92.0,1379,670079,980046,610071
86,177.0,820,670071,900069
87,92.0,345,670069
88,19.0,840,670079,980075
89,140.0,1580,670079,980046,610074
90,6.0,180,670071
91,97.0,4140,670014,230278,5500245,5540073
92,95.0,1825,670079,980046,610078
93,94.0,3020,670014,230278,5500068
94,36.0,85,670074
95,152.0,980,670071,900009,170051,690074
96,44.0,395,670074,940065,790069
97,131.0,565,670071,900080
98,15.0,720,670079
99,74.0,305,670080
100,170.0,1765,670071,900249,3390160,2130142,1590119,1720059
101,174.0,1750,670071,900249,3390160,2130081
102,171.0,1676,670071,900249,3390177,2450105,3160081
103,152.0,2430,670071,900249,3390093,1130164,2070088
104,167.0,3022,670071,900249,3390093,1130164,2070244,3310087
105,170.0,1345,670071,900249,3390201,2840088
106,176.0,1555,670071,900249,3390201,2840190,2490090
107,175.0,1740,670071,900249,3390160,2130088
108,171.0,1570,670071,900249,3390161,2140093
