GVI,Green River Airport,Green River,PG,Papua New Guinea,-3.9022,141.1705
HKN,Kimbe Airport,Hoskins,PG,Papua New Guinea,-5.4622,150.405
KIE,Aropa Airport,Kieta,PG,Papua New Guinea,-6.305,155.7278
LSA,Losuia Airport,Losuia,PG,Papua New Guinea,-8.5058,151.081
KDR,Kandrian Airport,Kandrian,PG,Papua New Guinea,-6.2659,149.5581
UNG,Kiunga Airport,Kiunga,PG,Papua New Guinea,-6.1257,141.282
KRI,Kikori Airport,Kikori,PG,Papua New Guinea,-7.4244,144.2501
KMA,Kerema Airport,Kerema,PG,Papua New Guinea,-7.9636,145.771
KKD,Kokoda Airport,Kokoda,PG,Papua New Guinea,-8.8847,147.731
KZF,Kaintiba Airport,Kaintiba,PG,Papua New Guinea,-7.5003,146.0338
KUQ,Kuri Airport,Kuri,PG,Papua New Guinea,-7.1351,143.2761
KVG,Kavieng Airport,Kavieng,PG,Papua New Guinea,-2.5794,150.808
KWO,Kawito Airport,Kawito,PG,Papua New Guinea,-7.977,142.8236
LNV,Londolovit Airport,Londolovit,PG,Papua New Guinea,-3.0436,152.629
LMY,Lake Murray Airport,Lake Murray,PG,Papua New Guinea,-7.0099,141.494
LWI,Lowai Airstrip,Lowai,PG,Papua New Guinea,-6.3344,146.6458
LMI,Lumi Airport,Lumi,PG,Papua New Guinea,-3.4768,142.0413
MYX,Menyamya Airport,Menyamya,PG,Papua New Guinea,-7.2117,146.0194
MAG,Madang Airport,Madang,PG,Papua New Guinea,-5.2071,145.789
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG,Papua New Guinea,-5.8268,144.296
MXK,Mindik Airport,Mindik,PG,Papua New Guinea,-6.4717,147.4411
GUV,Mougulu Airport,Mougulu,PG,Papua New Guinea,-6.2809,142.4208
MXH,Moro Airport,Moro,PG,Papua New Guinea,-6.3633,143.238
MIS,Misima Island Airport,Misima Island,PG,Papua New Guinea,-10.6892,152.838
GBF,Negarbo(Negabo) Airport,Negarbo,PG,Papua New Guinea,-6.5678,144.7031
MFO,Manguna Airport,Manguna,PG,Papua New Guinea,-5.5778,151.7923
UKU,Nuku Airport,Nuku,PG,Papua New Guinea,-3.6767,142.4843
LAE,Lae Nadzab Airport,Nadzab,PG,Papua New Guinea,-6.5698,146.726
OSE,Omora Airport,Omora,PG,Papua New Guinea,-7.8278,147.0806
PDI,Pindiu Airport,Pindiu,PG,Papua New Guinea,-6.4451,147.5158
POM,Port Moresby Jacksons International Airport,Port Moresby,PG,Papua New Guinea,-9.4434,147.22
KMR,Karimui Airport,Karimui,PG,Papua New Guinea,-6.4921,144.823
NIS,Simberi Airport,Simberi Island,PG,Papua New Guinea,-2.6622,151.9978
SIL,Sila Airport,Sila Mission,PG,Papua New Guinea,-9.0736,148.3893
SIM,Simbai Airport,Simbai,PG,Papua New Guinea,-5.2786,144.5447
SKC,Suki Airport,Suki,PG,Papua New Guinea,-8.0466,141.7222
TIZ,Tari Airport,Tari,PG,Papua New Guinea,-5.845,142.948
TBG,Tabubil Airport,Tabubil,PG,Papua New Guinea,-5.2786,141.226
TFM,Telefomin Airport,Telefomin,PG,Papua New Guinea,-5.1261,141.6419
TPI,Tapini Airport,Tapini,PG,Papua New Guinea,-8.3567,146.9892
TAJ,Tadji Airport,Aitape,PG,Papua New Guinea,-3.1982,142.431
RAB,Tokua Airport,Tokua,PG,Papua New Guinea,-4.3405,152.38
TKW,Tekin Airport,Tekin,PG,Papua New Guinea,-5.2437,142.1652
TFI,Tufi Airport,Tufi,PG,Papua New Guinea,-9.076,149.3198
WAO,Wabo Airport,Wabo,PG,Papua New Guinea,-6.9894,145.0751
WWK,Wewak International Airport,Wewak,PG,Papua New Guinea,-3.5838,143.669
