8,35.5293,35.8493,51.2296,51.5496
9,41.1523,41.4723,69.1187,69.4387
10,15.1939,15.5139,44.0459,44.3659
11,11.4083,11.7283,104.7624,105.0824
12,19.594,19.914,95.9745,96.2945
13,23.5222,23.6564,58.2266,58.6485
14,14.4349,14.7549,120.8183,121.1383
15,4.1683,4.2412,73.4545,73.5519
16,29.2407,31.0575,89.7528,92.6245
17,29.2197,29.5397,47.8136,48.1336
18,27.5483,27.8683,85.1606,85.4806
20,33.5338,33.8538,72.9052,73.2252
21,38.4511,38.6406,68.6577,68.9642
22,25.1505,25.393,51.3958,51.6471
23,23.6262,23.9462,90.2426,90.5626
24,6.7787,7.0987,79.6941,80.0141
25,42.7874,42.9719,74.4936,74.7178
26,33.8623,33.9161,35.4668,35.5426
27,4.7295,5.0495,114.7818,115.1018
28,33.1424,33.4624,44.2188,44.5388
29,51.0007,51.3511,71.2244,71.7852
30,37.7686,38.1054,57.9923,58.4786
124,52.3382,52.6755,13.0883,13.7612
153,46.69,46.8618,23.4992,23.7183
225,51.3473,51.6673,-0.2876,0.0324
293,48.8156,48.9022,2.2241,2.4698
