23,45.0,4860,180074,930280,5500011
55,35.0,2740,180074,930041
56,31.0,1950,180074,930044
57,39.0,3415,180074,930047
66,40.0,3720,180074,930055
91,36.0,2620,180074,930080
93,29.0,1680,180074
550,40.0,4500,180074,930280
551,31.0,1790,180074,930282
552,34.0,2515,180074,930285
554,33.0,2090,180074,930288
626,41.0,4159,180074,930290
