8,Tehran,35.70,51.42
9,Tashkent,41.30,69.27
10,Sanaa,15.35,44.20
11,Phnom Penh,11.57,104.92
12,Naypyidaw,19.75,96.13
13,Muscat,23.61,58.59
14,Manila,14.60,120.98
15,Male,4.18,73.51
16,Lhasa,29.65,91.10
17,Kuwait City,29.38,47.98
18,Kathmandu,27.72,85.37
20,Islamabad,33.70,73.04
21,Dushanbe,38.57,68.79
22,Doha,25.30,51.53
23,Dhaka,23.72,90.40
24,Colombo,6.92,79.83
25,Bishkek,42.87,74.57
26,Beirut,33.89,35.51
27,Bandar Seri Begawan,4.92,114.92
28,Baghdad,33.35,44.42
29,Astana Nur-Sultan,51.13,71.43
30,Ashgabat,37.95,58.38
31,Amman,31.95,35.93
32,Manama,26.22,50.58
33,Tbilisi,41.72,44.79
34,Baku,40.37,49.84
35,Yerevan,40.18,44.51
36,Honolulu,21.33,-157.85
37,San Francisco,37.76,-122.44
38,Orlando,28.48,-81.34
39,Las Vegas,36.23,-115.27
40,Los Angeles,34.11,-118.41
41,Miami,25.78,-80.21
42,New York,40.69,-73.92
43,Johannesburg,-26.20,28.04
44,Dammam,26.43,50.10
45,Riyadh,24.65,46.71
47,Cancun,21.16,-86.85
48,Fukuoka,33.59,130.40
50,Kyoto,35.01,135.77
51,Osaka,34.69,135.50
52,Jerusalem,31.78,35.22
53,Batam,1.11,104.04
55,Kolkatta,22.54,88.34
56,Jaipur,26.92,75.87
57,Chennai,13.08,80.28
58,Hurgada,27.22,33.83
59,Beijing,39.91,116.39
60,Zhuhai,22.28,113.57
61,Guilin,25.27,110.28
62,Vancouver,49.25,-123.10
63,Toronto,43.74,-79.37
64,Rio de Janeiro,-22.91,-43.20
65,Buenos Aires,-34.60,-58.38
66,Bangalore,12.97,77.60
67,Krabi,8.06,98.92
68,Jeju,33.51,126.52
69,Abu Dhabi,24.48,54.37
70,Auckland,-36.85,174.78
71,Cebu,10.30,123.90
72,Sydney,-33.87,151.21
73,Melbourne,-37.81,144.96
74,Marrakech,31.63,-7.98
75,Penang Island,5.38,100.25
76,Jakarta,-6.21,106.85
77,Ha Noi,21.03,105.85
78,Cairo,30.06,31.24
79,Johor Bahru,1.46,103.76
80,Denpasar,-8.67,115.22
81,Ho Chi Minh,10.78,106.70
82,Shanghai,31.17,121.47
83,Seoul,37.58,127.00
84,Medina,24.47,39.60
85,Guangzhou,23.13,113.26
86,Mecca,21.42,39.83
87,Taipei,25.05,121.53
88,Pattaya,12.93,100.90
89,Tokyo,35.69,139.69
90,Phuket,7.89,98.40
91,Mumbai,18.97,72.83
92,Shenzhen,22.54,114.05
93,Delhi,28.66,77.23
94,Kuala Lumpur,3.15,101.70
95,Dubai,25.27,55.31
96,Singapore,1.30,103.80
97,Macau,22.20,113.55
98,Bangkok,13.75,100.52
99,Hong Kong,22.31,114.19
100,Antwerp,51.22,4.40
101,Aberdeen,57.15,-2.11
102,Augsburg,48.37,10.90
103,Alexandroupolis,40.85,25.87
104,Athens,37.98,23.72
105,Alicante,38.35,-0.48
106,Almeria,36.84,-2.46
107,Aalborg,57.03,9.92
108,Aarhus,56.16,10.21
109,Ancona,43.62,13.52
111,Amsterdam,52.35,4.92
112,Alanya,36.54,32.00
113,Ankara,39.93,32.85
114,Antalya,36.91,30.70
115,Altenrhein,47.49,9.55
116,Brussels,50.85,4.35
117,Burgas,42.50,27.47
118,Banja Luka,44.77,17.18
119,Belfast,54.60,-5.93
120,Birmingham,52.48,-1.90
121,Bournemouth,50.72,-1.88
122,Bristol,51.45,-2.58
123,Budapest,47.50,19.04
124,Berlin,52.52,13.38
126,Bremen,53.12,8.80
127,Billund,55.73,9.12
128,Barcelona,41.38,2.18
129,Bilbao,43.26,-2.95
130,Bologna,44.49,11.34
131,Bergen,60.39,5.32
132,Bodo,67.28,14.38
134,Bucharest,44.40,26.08
135,Belgrade,44.82,20.47
136,Bratislava,48.14,17.11
137,Bordeaux,44.84,-0.58
139,Brno,49.20,16.61
140,Basel,47.56,7.59
141,Bern,46.95,7.45
142,Cardiff,51.48,-3.18
145,Cologne,50.94,6.96
146,Corfu,39.59,19.86
147,Copenhagen,55.68,12.56
150,Cork,51.90,-8.47
151,Cagliari,39.22,9.10
152,Catania,37.50,15.09
153,Cluj-Napoca,46.78,23.56
154,Clermont-Ferrand,45.78,3.08
155,Chambery-Savoie,45.57,5.91
156,Cherbourg,49.65,-1.65
158,Doncaster,53.52,-1.13
159,Dortmund,51.51,7.47
160,Dresden,51.05,13.74
161,Duesseldorf,51.23,6.78
162,Dublin,53.34,-6.27
163,Dalaman,36.81,28.88
164,Dubrovnik,42.64,18.11
165,East Midlands,52.80,-0.67
166,Edinburgh,55.95,-3.19
167,Exeter,50.72,-3.53
169,Esbjerg,55.47,8.45
171,Eilat,29.56,34.95
172,Eindhoven,51.43,5.50
174,Frankfurt,50.11,8.68
175,Friedrichshafen,47.65,9.48
176,Fuerteventura,28.40,-14.00
177,Florence,43.77,11.25
178,Floro,61.60,5.02
179,Faro,37.02,-7.93
180,Funchal,32.65,-16.92
181,Graz,47.07,15.43
183,Guernsey,57.17,-7.37
184,Glasgow,55.86,-4.25
185,Gloucestershire,51.76,-2.19
186,Granada,37.18,-3.60
187,Girona,41.98,2.82
189,Genoa,44.41,8.93
190,Groningen,53.22,6.58
191,Gdansk,54.37,18.63
192,Geneva,46.20,6.15
193,Gothenburg,57.67,11.98
194,Humberside,53.57,-0.35
196,Hamburg,53.55,10.00
197,Hannover,52.37,9.74
200,Heraklion,35.34,25.13
